20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       199480.24    199480.24         0.00       655.17095       655.35900      1044.47900      1048.57500     13015.84 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     199480.24    199480.24         0.00       655.17095       655.35900      1044.47900      1048.57500     13015.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     169.983        0.000
GET     280.575        5.000
GET     350.207       10.000
GET     391.167       15.000
GET     430.079       20.000
GET     468.991       25.000
GET     499.711       30.000
GET     548.863       35.000
GET     569.343       40.000
GET     606.207       45.000
GET     655.359       50.000
GET     684.031       52.500
GET     696.319       55.000
GET     729.087       57.500
GET     741.375       60.000
GET     757.759       62.500
GET     786.431       65.000
GET     798.719       67.500
GET     815.103       70.000
GET     823.295       72.500
GET     851.967       75.000
GET     864.255       76.250
GET     872.447       77.500
GET     884.735       78.750
GET     888.831       80.000
GET     897.023       81.250
GET     917.503       82.500
GET     929.791       83.750
GET     933.887       85.000
GET     937.983       86.250
GET     950.271       87.500
GET     958.463       88.125
GET     966.655       88.750
GET     970.751       89.375
GET     983.039       90.000
GET     987.135       90.625
GET     991.231       91.250
GET     995.327       91.875
GET     995.327       92.500
GET    1003.519       93.125
GET    1011.711       93.750
GET    1011.711       94.062
GET    1015.807       94.375
GET    1015.807       94.688
GET    1019.903       95.000
GET    1028.095       95.312
GET    1032.191       95.625
GET    1032.191       95.938
GET    1032.191       96.250
GET    1036.287       96.562
GET    1036.287       96.875
GET    1036.287       97.031
GET    1036.287       97.188
GET    1044.479       97.344
GET    1044.479       97.500
GET    1044.479       97.656
GET    1044.479       97.812
GET    1044.479       97.969
GET    1044.479       98.125
GET    1044.479       98.281
GET    1044.479       98.438
GET    1044.479       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1048.575       99.062
GET    1048.575      100.000
---
WAIT      0.000      100.000
