20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       144167.24    144167.24         0.00       679.68410       704.51100      1048.57500      1048.57500      9406.74 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     144167.24    144167.24         0.00       679.68410       704.51100      1048.57500      1048.57500      9406.74 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     178.175        0.000
GET     270.335        5.000
GET     344.063       10.000
GET     382.975       15.000
GET     423.935       20.000
GET     501.759       25.000
GET     557.055       30.000
GET     598.015       35.000
GET     638.975       40.000
GET     671.743       45.000
GET     704.511       50.000
GET     712.703       52.500
GET     720.895       55.000
GET     733.183       57.500
GET     745.471       60.000
GET     765.951       62.500
GET     790.527       65.000
GET     811.007       67.500
GET     843.775       70.000
GET     868.351       72.500
GET     884.735       75.000
GET     888.831       76.250
GET     897.023       77.500
GET     905.215       78.750
GET     913.407       80.000
GET     933.887       81.250
GET     946.175       82.500
GET     950.271       83.750
GET     962.559       85.000
GET     983.039       86.250
GET    1007.615       87.500
GET    1011.711       88.125
GET    1015.807       88.750
GET    1015.807       89.375
GET    1019.903       90.000
GET    1019.903       90.625
GET    1023.999       91.250
GET    1023.999       91.875
GET    1023.999       92.500
GET    1023.999       93.125
GET    1028.095       93.750
GET    1028.095       94.062
GET    1032.191       94.375
GET    1032.191       94.688
GET    1032.191       95.000
GET    1036.287       95.312
GET    1036.287       95.625
GET    1036.287       95.938
GET    1036.287       96.250
GET    1036.287       96.562
GET    1044.479       96.875
GET    1044.479       97.031
GET    1044.479       97.188
GET    1044.479       97.344
GET    1044.479       97.500
GET    1044.479       97.656
GET    1044.479       97.812
GET    1044.479       97.969
GET    1044.479       98.125
GET    1044.479       98.281
GET    1044.479       98.438
GET    1044.479       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1048.575       98.828
GET    1048.575      100.000
---
WAIT      0.000      100.000
