20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       166081.47    166081.47         0.00       673.50029       679.93500      1032.19100      1040.38300     10836.61 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     166081.47    166081.47         0.00       673.50029       679.93500      1032.19100      1040.38300     10836.61 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     156.671        0.000
GET     319.487        5.000
GET     374.783       10.000
GET     417.791       15.000
GET     456.703       20.000
GET     481.279       25.000
GET     528.383       30.000
GET     573.439       35.000
GET     598.015       40.000
GET     638.975       45.000
GET     679.935       50.000
GET     700.415       52.500
GET     724.991       55.000
GET     745.471       57.500
GET     765.951       60.000
GET     778.239       62.500
GET     811.007       65.000
GET     831.487       67.500
GET     839.679       70.000
GET     843.775       72.500
GET     860.159       75.000
GET     868.351       76.250
GET     872.447       77.500
GET     888.831       78.750
GET     892.927       80.000
GET     905.215       81.250
GET     921.599       82.500
GET     933.887       83.750
GET     937.983       85.000
GET     950.271       86.250
GET     954.367       87.500
GET     962.559       88.125
GET     966.655       88.750
GET     966.655       89.375
GET     970.751       90.000
GET     974.847       90.625
GET     978.943       91.250
GET     983.039       91.875
GET     983.039       92.500
GET     983.039       93.125
GET     987.135       93.750
GET     987.135       94.062
GET     991.231       94.375
GET    1007.615       94.688
GET    1007.615       95.000
GET    1007.615       95.312
GET    1007.615       95.625
GET    1015.807       95.938
GET    1019.903       96.250
GET    1023.999       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1032.191       98.984
GET    1032.191       99.062
GET    1032.191       99.141
GET    1040.383       99.219
GET    1040.383      100.000
---
WAIT      0.000      100.000
