20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       189528.72    189528.72         0.00       681.54929       692.22300      1044.47900      1048.57500     12366.53 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     189528.72    189528.72         0.00       681.54929       692.22300      1044.47900      1048.57500     12366.53 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      65.023        0.000
GET     276.479        5.000
GET     380.927       10.000
GET     415.743       15.000
GET     489.471       20.000
GET     524.287       25.000
GET     569.343       30.000
GET     598.015       35.000
GET     630.783       40.000
GET     655.359       45.000
GET     692.223       50.000
GET     729.087       52.500
GET     753.663       55.000
GET     757.759       57.500
GET     782.335       60.000
GET     798.719       62.500
GET     811.007       65.000
GET     823.295       67.500
GET     843.775       70.000
GET     860.159       72.500
GET     880.639       75.000
GET     884.735       76.250
GET     892.927       77.500
GET     897.023       78.750
GET     901.119       80.000
GET     905.215       81.250
GET     909.311       82.500
GET     913.407       83.750
GET     917.503       85.000
GET     921.599       86.250
GET     933.887       87.500
GET     942.079       88.125
GET     958.463       88.750
GET     970.751       89.375
GET     987.135       90.000
GET     991.231       90.625
GET     991.231       91.250
GET     999.423       91.875
GET    1003.519       92.500
GET    1007.615       93.125
GET    1007.615       93.750
GET    1011.711       94.062
GET    1011.711       94.375
GET    1011.711       94.688
GET    1015.807       95.000
GET    1015.807       95.312
GET    1015.807       95.625
GET    1019.903       95.938
GET    1023.999       96.250
GET    1023.999       96.562
GET    1028.095       96.875
GET    1028.095       97.031
GET    1028.095       97.188
GET    1028.095       97.344
GET    1036.287       97.500
GET    1036.287       97.656
GET    1036.287       97.812
GET    1036.287       97.969
GET    1036.287       98.125
GET    1040.383       98.281
GET    1040.383       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1048.575       99.062
GET    1048.575      100.000
---
WAIT      0.000      100.000
