20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       195578.43    195578.43         0.00       694.78393       688.12700      1040.38300      1044.47900     12761.27 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     195578.43    195578.43         0.00       694.78393       688.12700      1040.38300      1044.47900     12761.27 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     274.431        0.000
GET     364.543        5.000
GET     407.551       10.000
GET     440.319       15.000
GET     489.471       20.000
GET     511.999       25.000
GET     557.055       30.000
GET     589.823       35.000
GET     634.879       40.000
GET     651.263       45.000
GET     688.127       50.000
GET     704.511       52.500
GET     733.183       55.000
GET     749.567       57.500
GET     761.855       60.000
GET     786.431       62.500
GET     798.719       65.000
GET     835.583       67.500
GET     856.063       70.000
GET     876.543       72.500
GET     897.023       75.000
GET     901.119       76.250
GET     905.215       77.500
GET     917.503       78.750
GET     929.791       80.000
GET     933.887       81.250
GET     942.079       82.500
GET     946.175       83.750
GET     958.463       85.000
GET     962.559       86.250
GET     978.943       87.500
GET     987.135       88.125
GET     987.135       88.750
GET     991.231       89.375
GET     995.327       90.000
GET     999.423       90.625
GET     999.423       91.250
GET     999.423       91.875
GET    1007.615       92.500
GET    1007.615       93.125
GET    1011.711       93.750
GET    1011.711       94.062
GET    1011.711       94.375
GET    1015.807       94.688
GET    1015.807       95.000
GET    1023.999       95.312
GET    1023.999       95.625
GET    1023.999       95.938
GET    1023.999       96.250
GET    1028.095       96.562
GET    1028.095       96.875
GET    1028.095       97.031
GET    1028.095       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1036.287       97.812
GET    1036.287       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1044.479       99.375
GET    1044.479      100.000
---
WAIT      0.000      100.000
