20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       190164.77    190164.77         0.00       701.15370       729.08700      1036.28700      1048.57500     12408.04 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     190164.77    190164.77         0.00       701.15370       729.08700      1036.28700      1048.57500     12408.04 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     200.703        0.000
GET     315.391        5.000
GET     393.215       10.000
GET     440.319       15.000
GET     489.471       20.000
GET     524.287       25.000
GET     557.055       30.000
GET     598.015       35.000
GET     655.359       40.000
GET     692.223       45.000
GET     729.087       50.000
GET     741.375       52.500
GET     749.567       55.000
GET     765.951       57.500
GET     774.143       60.000
GET     794.623       62.500
GET     815.103       65.000
GET     835.583       67.500
GET     860.159       70.000
GET     876.543       72.500
GET     892.927       75.000
GET     905.215       76.250
GET     913.407       77.500
GET     917.503       78.750
GET     946.175       80.000
GET     950.271       81.250
GET     954.367       82.500
GET     954.367       83.750
GET     962.559       85.000
GET     974.847       86.250
GET     978.943       87.500
GET     983.039       88.125
GET     987.135       88.750
GET     991.231       89.375
GET     995.327       90.000
GET    1003.519       90.625
GET    1007.615       91.250
GET    1007.615       91.875
GET    1011.711       92.500
GET    1011.711       93.125
GET    1011.711       93.750
GET    1011.711       94.062
GET    1019.903       94.375
GET    1019.903       94.688
GET    1019.903       95.000
GET    1019.903       95.312
GET    1023.999       95.625
GET    1023.999       95.938
GET    1023.999       96.250
GET    1023.999       96.562
GET    1028.095       96.875
GET    1028.095       97.031
GET    1032.191       97.188
GET    1032.191       97.344
GET    1032.191       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1036.287       99.531
GET    1036.287       99.570
GET    1036.287       99.609
GET    1036.287       99.629
GET    1048.575       99.648
GET    1048.575      100.000
---
WAIT      0.000      100.000
