20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6531.93      6531.93         0.00       285.38149       249.85500       978.94300      1028.09500       520.70 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6531.93      6531.93         0.00       285.38149       249.85500       978.94300      1028.09500       520.70 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.783        0.000
GET      31.103        5.000
GET      88.575       10.000
GET      99.327       15.000
GET     105.983       20.000
GET     117.247       25.000
GET     171.007       30.000
GET     195.583       35.000
GET     206.847       40.000
GET     212.991       45.000
GET     249.855       50.000
GET     257.023       52.500
GET     264.191       55.000
GET     305.151       57.500
GET     321.535       60.000
GET     346.111       62.500
GET     362.495       65.000
GET     370.687       67.500
GET     378.879       70.000
GET     395.263       72.500
GET     405.503       75.000
GET     407.551       76.250
GET     409.599       77.500
GET     409.599       78.750
GET     411.647       80.000
GET     411.647       81.250
GET     417.791       82.500
GET     434.175       83.750
GET     444.415       85.000
GET     452.607       86.250
GET     454.655       87.500
GET     454.655       88.125
GET     454.655       88.750
GET     458.751       89.375
GET     458.751       90.000
GET     477.183       90.625
GET     477.183       91.250
GET     522.239       91.875
GET     552.959       92.500
GET     585.727       93.125
GET     618.495       93.750
GET     630.783       94.062
GET     647.167       94.375
GET     663.551       94.688
GET     696.319       95.000
GET     720.895       95.312
GET     749.567       95.625
GET     770.047       95.938
GET     790.527       96.250
GET     815.103       96.562
GET     831.487       96.875
GET     839.679       97.031
GET     872.447       97.188
GET     892.927       97.344
GET     901.119       97.500
GET     917.503       97.656
GET     929.791       97.812
GET     937.983       97.969
GET     946.175       98.125
GET     954.367       98.281
GET     958.463       98.438
GET     962.559       98.516
GET     962.559       98.594
GET     962.559       98.672
GET     966.655       98.750
GET     970.751       98.828
GET     978.943       98.906
GET     978.943       98.984
GET     983.039       99.062
GET     987.135       99.141
GET     995.327       99.219
GET     999.423       99.258
GET     999.423       99.297
GET     999.423       99.336
GET     999.423       99.375
GET    1003.519       99.414
GET    1011.711       99.453
GET    1011.711       99.492
GET    1011.711       99.531
GET    1015.807       99.570
GET    1015.807       99.609
GET    1015.807       99.629
GET    1015.807       99.648
GET    1019.903       99.668
GET    1023.999       99.688
GET    1023.999       99.707
GET    1023.999       99.727
GET    1023.999       99.746
GET    1023.999       99.766
GET    1023.999       99.785
GET    1028.095       99.805
GET    1028.095       99.814
GET    1028.095       99.824
GET    1028.095       99.834
GET    1028.095       99.844
GET    1028.095       99.854
GET    1028.095       99.863
GET    1028.095       99.873
GET    1028.095       99.883
GET    1028.095       99.893
GET    1028.095       99.902
GET    1028.095       99.907
GET    1028.095       99.912
GET    1044.479       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1044.479       99.932
GET    1044.479       99.937
GET    1044.479       99.941
GET    1044.479       99.946
GET    1044.479       99.951
GET    1048.575       99.954
GET    1048.575      100.000
---
WAIT      0.000      100.000
