20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6240.01      6240.01         0.00       337.51618       282.62300       991.23100      1044.47900       497.43 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6240.01      6240.01         0.00       337.51618       282.62300       991.23100      1044.47900       497.43 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      54.271        0.000
GET     134.143        5.000
GET     180.223       10.000
GET     193.535       15.000
GET     211.967       20.000
GET     224.255       25.000
GET     245.759       30.000
GET     264.191       35.000
GET     268.287       40.000
GET     276.479       45.000
GET     282.623       50.000
GET     286.719       52.500
GET     292.863       55.000
GET     301.055       57.500
GET     311.295       60.000
GET     315.391       62.500
GET     327.679       65.000
GET     331.775       67.500
GET     337.919       70.000
GET     362.495       72.500
GET     380.927       75.000
GET     389.119       76.250
GET     391.167       77.500
GET     395.263       78.750
GET     397.311       80.000
GET     405.503       81.250
GET     419.839       82.500
GET     425.983       83.750
GET     448.511       85.000
GET     489.471       86.250
GET     522.239       87.500
GET     544.767       88.125
GET     565.247       88.750
GET     581.631       89.375
GET     614.399       90.000
GET     638.975       90.625
GET     675.839       91.250
GET     704.511       91.875
GET     733.183       92.500
GET     753.663       93.125
GET     790.527       93.750
GET     798.719       94.062
GET     806.911       94.375
GET     819.199       94.688
GET     831.487       95.000
GET     835.583       95.312
GET     851.967       95.625
GET     868.351       95.938
GET     876.543       96.250
GET     884.735       96.562
GET     892.927       96.875
GET     913.407       97.031
GET     917.503       97.188
GET     921.599       97.344
GET     925.695       97.500
GET     937.983       97.656
GET     946.175       97.812
GET     954.367       97.969
GET     962.559       98.125
GET     966.655       98.281
GET     970.751       98.438
GET     970.751       98.516
GET     978.943       98.594
GET     983.039       98.672
GET     987.135       98.750
GET     987.135       98.828
GET     987.135       98.906
GET     987.135       98.984
GET     991.231       99.062
GET     999.423       99.141
GET     999.423       99.219
GET     999.423       99.258
GET    1003.519       99.297
GET    1007.615       99.336
GET    1007.615       99.375
GET    1015.807       99.414
GET    1015.807       99.453
GET    1019.903       99.492
GET    1019.903       99.531
GET    1028.095       99.570
GET    1036.287       99.609
GET    1036.287       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1040.383       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1044.479       99.932
GET    1044.479       99.937
GET    1044.479       99.941
GET    1044.479       99.946
GET    1044.479       99.951
GET    1048.575       99.954
GET    1048.575      100.000
---
WAIT      0.000      100.000
