20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6492.94      6492.94         0.00       360.85919       307.19900      1015.80700      1044.47900       517.60 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6492.94      6492.94         0.00       360.85919       307.19900      1015.80700      1044.47900       517.60 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     103.935        0.000
GET     175.103        5.000
GET     207.871       10.000
GET     220.159       15.000
GET     238.591       20.000
GET     251.903       25.000
GET     266.239       30.000
GET     270.335       35.000
GET     276.479       40.000
GET     299.007       45.000
GET     307.199       50.000
GET     311.295       52.500
GET     317.439       55.000
GET     327.679       57.500
GET     331.775       60.000
GET     337.919       62.500
GET     348.159       65.000
GET     360.447       67.500
GET     372.735       70.000
GET     382.975       72.500
GET     387.071       75.000
GET     389.119       76.250
GET     397.311       77.500
GET     403.455       78.750
GET     405.503       80.000
GET     405.503       81.250
GET     417.791       82.500
GET     417.791       83.750
GET     454.655       85.000
GET     516.095       86.250
GET     561.151       87.500
GET     581.631       88.125
GET     602.111       88.750
GET     630.783       89.375
GET     659.455       90.000
GET     679.935       90.625
GET     708.607       91.250
GET     741.375       91.875
GET     774.143       92.500
GET     794.623       93.125
GET     819.199       93.750
GET     827.391       94.062
GET     843.775       94.375
GET     856.063       94.688
GET     868.351       95.000
GET     888.831       95.312
GET     897.023       95.625
GET     905.215       95.938
GET     917.503       96.250
GET     925.695       96.562
GET     937.983       96.875
GET     942.079       97.031
GET     950.271       97.188
GET     954.367       97.344
GET     966.655       97.500
GET     970.751       97.656
GET     978.943       97.812
GET     983.039       97.969
GET     991.231       98.125
GET     995.327       98.281
GET     999.423       98.438
GET     999.423       98.516
GET    1003.519       98.594
GET    1003.519       98.672
GET    1007.615       98.750
GET    1011.711       98.828
GET    1011.711       98.906
GET    1015.807       98.984
GET    1019.903       99.062
GET    1019.903       99.141
GET    1023.999       99.219
GET    1023.999       99.258
GET    1023.999       99.297
GET    1023.999       99.336
GET    1023.999       99.375
GET    1028.095       99.414
GET    1028.095       99.453
GET    1028.095       99.492
GET    1028.095       99.531
GET    1032.191       99.570
GET    1032.191       99.609
GET    1036.287       99.629
GET    1036.287       99.648
GET    1036.287       99.668
GET    1036.287       99.688
GET    1036.287       99.707
GET    1036.287       99.727
GET    1040.383       99.746
GET    1040.383       99.766
GET    1040.383       99.785
GET    1040.383       99.805
GET    1040.383       99.814
GET    1040.383       99.824
GET    1040.383       99.834
GET    1040.383       99.844
GET    1040.383       99.854
GET    1040.383       99.863
GET    1040.383       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1044.479       99.932
GET    1044.479       99.937
GET    1044.479       99.941
GET    1044.479       99.946
GET    1044.479       99.951
GET    1044.479       99.954
GET    1044.479       99.956
GET    1044.479       99.958
GET    1044.479       99.961
GET    1044.479       99.963
GET    1044.479       99.966
GET    1044.479       99.968
GET    1048.575       99.971
GET    1048.575      100.000
---
WAIT      0.000      100.000
