20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6299.61      6299.61         0.00       297.13799       270.33500       966.65500      1040.38300       502.18 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6299.61      6299.61         0.00       297.13799       270.33500       966.65500      1040.38300       502.18 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      11.199        0.000
GET     110.591        5.000
GET     141.311       10.000
GET     157.695       15.000
GET     164.863       20.000
GET     205.823       25.000
GET     230.399       30.000
GET     241.663       35.000
GET     249.855       40.000
GET     258.047       45.000
GET     270.335       50.000
GET     286.719       52.500
GET     290.815       55.000
GET     294.911       57.500
GET     299.007       60.000
GET     301.055       62.500
GET     303.103       65.000
GET     307.199       67.500
GET     319.487       70.000
GET     325.631       72.500
GET     342.015       75.000
GET     362.495       76.250
GET     372.735       77.500
GET     374.783       78.750
GET     378.879       80.000
GET     385.023       81.250
GET     387.071       82.500
GET     391.167       83.750
GET     391.167       85.000
GET     393.215       86.250
GET     403.455       87.500
GET     405.503       88.125
GET     405.503       88.750
GET     421.887       89.375
GET     425.983       90.000
GET     428.031       90.625
GET     456.703       91.250
GET     497.663       91.875
GET     544.767       92.500
GET     585.727       93.125
GET     626.687       93.750
GET     638.975       94.062
GET     659.455       94.375
GET     675.839       94.688
GET     704.511       95.000
GET     729.087       95.312
GET     753.663       95.625
GET     782.335       95.938
GET     798.719       96.250
GET     819.199       96.562
GET     839.679       96.875
GET     843.775       97.031
GET     851.967       97.188
GET     860.159       97.344
GET     868.351       97.500
GET     872.447       97.656
GET     884.735       97.812
GET     892.927       97.969
GET     905.215       98.125
GET     913.407       98.281
GET     917.503       98.438
GET     925.695       98.516
GET     937.983       98.594
GET     946.175       98.672
GET     950.271       98.750
GET     954.367       98.828
GET     962.559       98.906
GET     966.655       98.984
GET     970.751       99.062
GET     978.943       99.141
GET     983.039       99.219
GET     987.135       99.258
GET     991.231       99.297
GET     999.423       99.336
GET    1003.519       99.375
GET    1003.519       99.414
GET    1007.615       99.453
GET    1007.615       99.492
GET    1011.711       99.531
GET    1015.807       99.570
GET    1023.999       99.609
GET    1023.999       99.629
GET    1023.999       99.648
GET    1032.191       99.668
GET    1036.287       99.688
GET    1036.287       99.707
GET    1036.287       99.727
GET    1036.287       99.746
GET    1036.287       99.766
GET    1036.287       99.785
GET    1036.287       99.805
GET    1036.287       99.814
GET    1036.287       99.824
GET    1036.287       99.834
GET    1036.287       99.844
GET    1036.287       99.854
GET    1036.287       99.863
GET    1036.287       99.873
GET    1036.287       99.883
GET    1040.383       99.893
GET    1040.383       99.902
GET    1040.383       99.907
GET    1040.383       99.912
GET    1040.383       99.917
GET    1040.383       99.922
GET    1040.383       99.927
GET    1040.383       99.932
GET    1040.383       99.937
GET    1040.383       99.941
GET    1040.383       99.946
GET    1040.383       99.951
GET    1040.383       99.954
GET    1040.383       99.956
GET    1040.383       99.958
GET    1040.383       99.961
GET    1040.383       99.963
GET    1040.383       99.966
GET    1040.383       99.968
GET    1040.383       99.971
GET    1040.383       99.973
GET    1040.383       99.976
GET    1040.383       99.977
GET    1040.383       99.978
GET    1040.383       99.979
GET    1040.383       99.980
GET    1044.479       99.982
GET    1044.479       99.983
GET    1044.479       99.984
GET    1044.479       99.985
GET    1044.479       99.987
GET    1044.479       99.988
GET    1044.479       99.988
GET    1044.479       99.989
GET    1044.479       99.990
GET    1048.575       99.990
GET    1048.575      100.000
---
WAIT      0.000      100.000
