20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6460.70      6460.70         0.00       324.81263       284.67100       983.03900      1040.38300       515.02 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6460.70      6460.70         0.00       324.81263       284.67100       983.03900      1040.38300       515.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      55.551        0.000
GET     132.095        5.000
GET     172.031       10.000
GET     198.655       15.000
GET     212.991       20.000
GET     229.375       25.000
GET     250.879       30.000
GET     258.047       35.000
GET     268.287       40.000
GET     272.383       45.000
GET     284.671       50.000
GET     292.863       52.500
GET     305.151       55.000
GET     307.199       57.500
GET     311.295       60.000
GET     315.391       62.500
GET     327.679       65.000
GET     339.967       67.500
GET     342.015       70.000
GET     352.255       72.500
GET     362.495       75.000
GET     376.831       76.250
GET     378.879       77.500
GET     391.167       78.750
GET     403.455       80.000
GET     407.551       81.250
GET     428.031       82.500
GET     432.127       83.750
GET     432.127       85.000
GET     440.319       86.250
GET     442.367       87.500
GET     442.367       88.125
GET     450.559       88.750
GET     454.655       89.375
GET     473.087       90.000
GET     473.087       90.625
GET     507.903       91.250
GET     544.767       91.875
GET     565.247       92.500
GET     622.591       93.125
GET     659.455       93.750
GET     679.935       94.062
GET     704.511       94.375
GET     733.183       94.688
GET     753.663       95.000
GET     774.143       95.312
GET     790.527       95.625
GET     811.007       95.938
GET     827.391       96.250
GET     843.775       96.562
GET     860.159       96.875
GET     864.255       97.031
GET     868.351       97.188
GET     872.447       97.344
GET     884.735       97.500
GET     892.927       97.656
GET     917.503       97.812
GET     929.791       97.969
GET     933.887       98.125
GET     942.079       98.281
GET     954.367       98.438
GET     962.559       98.516
GET     966.655       98.594
GET     970.751       98.672
GET     974.847       98.750
GET     978.943       98.828
GET     983.039       98.906
GET     983.039       98.984
GET     987.135       99.062
GET     995.327       99.141
GET     995.327       99.219
GET     999.423       99.258
GET     999.423       99.297
GET    1003.519       99.336
GET    1007.615       99.375
GET    1007.615       99.414
GET    1007.615       99.453
GET    1011.711       99.492
GET    1011.711       99.531
GET    1015.807       99.570
GET    1015.807       99.609
GET    1015.807       99.629
GET    1019.903       99.648
GET    1019.903       99.668
GET    1019.903       99.688
GET    1019.903       99.707
GET    1019.903       99.727
GET    1019.903       99.746
GET    1023.999       99.766
GET    1023.999       99.785
GET    1028.095       99.805
GET    1028.095       99.814
GET    1036.287       99.824
GET    1036.287       99.834
GET    1036.287       99.844
GET    1036.287       99.854
GET    1036.287       99.863
GET    1040.383       99.873
GET    1040.383       99.883
GET    1040.383       99.893
GET    1040.383       99.902
GET    1040.383       99.907
GET    1040.383       99.912
GET    1040.383       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1044.479       99.932
GET    1044.479       99.937
GET    1048.575       99.941
GET    1048.575      100.000
---
WAIT      0.000      100.000
