20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6217.50      6217.50         0.00       337.36347       313.34300       966.65500      1036.28700       495.64 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6217.50      6217.50         0.00       337.36347       313.34300       966.65500      1036.28700       495.64 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      97.279        0.000
GET     181.247        5.000
GET     200.703       10.000
GET     219.135       15.000
GET     236.543       20.000
GET     252.927       25.000
GET     262.143       30.000
GET     274.431       35.000
GET     294.911       40.000
GET     301.055       45.000
GET     313.343       50.000
GET     317.439       52.500
GET     329.727       55.000
GET     333.823       57.500
GET     344.063       60.000
GET     348.159       62.500
GET     352.255       65.000
GET     360.447       67.500
GET     362.495       70.000
GET     366.591       72.500
GET     368.639       75.000
GET     370.687       76.250
GET     372.735       77.500
GET     374.783       78.750
GET     376.831       80.000
GET     378.879       81.250
GET     385.023       82.500
GET     395.263       83.750
GET     397.311       85.000
GET     403.455       86.250
GET     409.599       87.500
GET     409.599       88.125
GET     409.599       88.750
GET     411.647       89.375
GET     415.743       90.000
GET     425.983       90.625
GET     454.655       91.250
GET     518.143       91.875
GET     548.863       92.500
GET     598.015       93.125
GET     638.975       93.750
GET     655.359       94.062
GET     671.743       94.375
GET     688.127       94.688
GET     708.607       95.000
GET     724.991       95.312
GET     753.663       95.625
GET     774.143       95.938
GET     790.527       96.250
GET     806.911       96.562
GET     823.295       96.875
GET     831.487       97.031
GET     839.679       97.188
GET     847.871       97.344
GET     860.159       97.500
GET     884.735       97.656
GET     892.927       97.812
GET     901.119       97.969
GET     909.311       98.125
GET     913.407       98.281
GET     917.503       98.438
GET     921.599       98.516
GET     933.887       98.594
GET     937.983       98.672
GET     946.175       98.750
GET     954.367       98.828
GET     958.463       98.906
GET     966.655       98.984
GET     970.751       99.062
GET     974.847       99.141
GET     978.943       99.219
GET     978.943       99.258
GET     983.039       99.297
GET     983.039       99.336
GET     987.135       99.375
GET     987.135       99.414
GET     987.135       99.453
GET     991.231       99.492
GET     991.231       99.531
GET     999.423       99.570
GET    1003.519       99.609
GET    1007.615       99.629
GET    1007.615       99.648
GET    1011.711       99.668
GET    1011.711       99.688
GET    1011.711       99.707
GET    1011.711       99.727
GET    1015.807       99.746
GET    1015.807       99.766
GET    1015.807       99.785
GET    1015.807       99.805
GET    1019.903       99.814
GET    1019.903       99.824
GET    1023.999       99.834
GET    1023.999       99.844
GET    1023.999       99.854
GET    1028.095       99.863
GET    1028.095       99.873
GET    1032.191       99.883
GET    1036.287       99.893
GET    1036.287       99.902
GET    1036.287       99.907
GET    1036.287       99.912
GET    1040.383       99.917
GET    1040.383       99.922
GET    1040.383       99.927
GET    1040.383       99.932
GET    1040.383       99.937
GET    1040.383       99.941
GET    1044.479       99.946
GET    1044.479       99.951
GET    1044.479       99.954
GET    1044.479       99.956
GET    1044.479       99.958
GET    1044.479       99.961
GET    1044.479       99.963
GET    1044.479       99.966
GET    1044.479       99.968
GET    1044.479       99.971
GET    1044.479       99.973
GET    1048.575       99.976
GET    1048.575      100.000
---
WAIT      0.000      100.000
