20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6209.66      6209.66         0.00       342.41847       344.06300       966.65500      1040.38300       495.01 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6209.66      6209.66         0.00       342.41847       344.06300       966.65500      1040.38300       495.01 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      17.663        0.000
GET     153.599        5.000
GET     187.391       10.000
GET     224.255       15.000
GET     238.591       20.000
GET     262.143       25.000
GET     276.479       30.000
GET     290.815       35.000
GET     303.103       40.000
GET     323.583       45.000
GET     344.063       50.000
GET     348.159       52.500
GET     356.351       55.000
GET     364.543       57.500
GET     370.687       60.000
GET     378.879       62.500
GET     382.975       65.000
GET     387.071       67.500
GET     393.215       70.000
GET     395.263       72.500
GET     401.407       75.000
GET     403.455       76.250
GET     405.503       77.500
GET     407.551       78.750
GET     407.551       80.000
GET     413.695       81.250
GET     417.791       82.500
GET     421.887       83.750
GET     423.935       85.000
GET     425.983       86.250
GET     434.175       87.500
GET     436.223       88.125
GET     442.367       88.750
GET     442.367       89.375
GET     444.415       90.000
GET     444.415       90.625
GET     446.463       91.250
GET     448.511       91.875
GET     452.607       92.500
GET     454.655       93.125
GET     487.423       93.750
GET     503.807       94.062
GET     522.239       94.375
GET     544.767       94.688
GET     573.439       95.000
GET     606.207       95.312
GET     638.975       95.625
GET     663.551       95.938
GET     704.511       96.250
GET     729.087       96.562
GET     761.855       96.875
GET     774.143       97.031
GET     786.431       97.188
GET     790.527       97.344
GET     798.719       97.500
GET     806.911       97.656
GET     827.391       97.812
GET     839.679       97.969
GET     876.543       98.125
GET     897.023       98.281
GET     917.503       98.438
GET     929.791       98.516
GET     937.983       98.594
GET     942.079       98.672
GET     950.271       98.750
GET     954.367       98.828
GET     958.463       98.906
GET     966.655       98.984
GET     974.847       99.062
GET     978.943       99.141
GET     983.039       99.219
GET     983.039       99.258
GET     987.135       99.297
GET     991.231       99.336
GET     991.231       99.375
GET    1003.519       99.414
GET    1007.615       99.453
GET    1011.711       99.492
GET    1015.807       99.531
GET    1015.807       99.570
GET    1019.903       99.609
GET    1019.903       99.629
GET    1023.999       99.648
GET    1028.095       99.668
GET    1028.095       99.688
GET    1028.095       99.707
GET    1028.095       99.727
GET    1028.095       99.746
GET    1028.095       99.766
GET    1032.191       99.785
GET    1032.191       99.805
GET    1036.287       99.814
GET    1036.287       99.824
GET    1036.287       99.834
GET    1040.383       99.844
GET    1040.383       99.854
GET    1040.383       99.863
GET    1040.383       99.873
GET    1040.383       99.883
GET    1040.383       99.893
GET    1040.383       99.902
GET    1040.383       99.907
GET    1040.383       99.912
GET    1040.383       99.917
GET    1040.383       99.922
GET    1044.479       99.927
GET    1044.479       99.932
GET    1044.479       99.937
GET    1044.479       99.941
GET    1044.479       99.946
GET    1048.575       99.951
GET    1048.575      100.000
---
WAIT      0.000      100.000
