20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        16053.04     16053.04         0.00       608.23391       606.20700      1040.38300      1048.57500      1279.68 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      16053.04     16053.04         0.00       608.23391       606.20700      1040.38300      1048.57500      1279.68 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      90.623        0.000
GET     249.855        5.000
GET     290.815       10.000
GET     325.631       15.000
GET     358.399       20.000
GET     385.023       25.000
GET     417.791       30.000
GET     460.799       35.000
GET     511.999       40.000
GET     561.151       45.000
GET     606.207       50.000
GET     626.687       52.500
GET     651.263       55.000
GET     671.743       57.500
GET     692.223       60.000
GET     716.799       62.500
GET     741.375       65.000
GET     757.759       67.500
GET     782.335       70.000
GET     802.815       72.500
GET     823.295       75.000
GET     835.583       76.250
GET     847.871       77.500
GET     856.063       78.750
GET     868.351       80.000
GET     880.639       81.250
GET     892.927       82.500
GET     901.119       83.750
GET     913.407       85.000
GET     925.695       86.250
GET     937.983       87.500
GET     942.079       88.125
GET     950.271       88.750
GET     954.367       89.375
GET     958.463       90.000
GET     966.655       90.625
GET     970.751       91.250
GET     974.847       91.875
GET     983.039       92.500
GET     987.135       93.125
GET     991.231       93.750
GET     995.327       94.062
GET     999.423       94.375
GET    1003.519       94.688
GET    1003.519       95.000
GET    1007.615       95.312
GET    1011.711       95.625
GET    1011.711       95.938
GET    1015.807       96.250
GET    1019.903       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1048.575       99.609
GET    1048.575      100.000
---
WAIT      0.000      100.000
