20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        15861.29     15861.29         0.00       268.27707       210.94300       983.03900      1040.38300      1264.40 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      15861.29     15861.29         0.00       268.27707       210.94300       983.03900      1040.38300      1264.40 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      15.551        0.000
GET      22.655        5.000
GET      31.615       10.000
GET     114.687       15.000
GET     124.415       20.000
GET     134.143       25.000
GET     144.383       30.000
GET     167.935       35.000
GET     176.127       40.000
GET     183.295       45.000
GET     210.943       50.000
GET     212.991       52.500
GET     244.735       55.000
GET     258.047       57.500
GET     266.239       60.000
GET     301.055       62.500
GET     323.583       65.000
GET     337.919       67.500
GET     348.159       70.000
GET     362.495       72.500
GET     366.591       75.000
GET     376.831       76.250
GET     376.831       77.500
GET     387.071       78.750
GET     387.071       80.000
GET     395.263       81.250
GET     397.311       82.500
GET     399.359       83.750
GET     411.647       85.000
GET     411.647       86.250
GET     413.695       87.500
GET     428.031       88.125
GET     440.319       88.750
GET     454.655       89.375
GET     471.039       90.000
GET     491.519       90.625
GET     505.855       91.250
GET     569.343       91.875
GET     606.207       92.500
GET     667.647       93.125
GET     704.511       93.750
GET     720.895       94.062
GET     733.183       94.375
GET     745.471       94.688
GET     753.663       95.000
GET     761.855       95.312
GET     786.431       95.625
GET     806.911       95.938
GET     823.295       96.250
GET     839.679       96.562
GET     856.063       96.875
GET     856.063       97.031
GET     872.447       97.188
GET     888.831       97.344
GET     901.119       97.500
GET     905.215       97.656
GET     933.887       97.812
GET     946.175       97.969
GET     950.271       98.125
GET     954.367       98.281
GET     962.559       98.438
GET     966.655       98.516
GET     970.751       98.594
GET     974.847       98.672
GET     978.943       98.750
GET     978.943       98.828
GET     983.039       98.906
GET     983.039       98.984
GET     983.039       99.062
GET     983.039       99.141
GET     987.135       99.219
GET     987.135       99.258
GET     987.135       99.297
GET     991.231       99.336
GET     991.231       99.375
GET     995.327       99.414
GET     999.423       99.453
GET     999.423       99.492
GET    1003.519       99.531
GET    1003.519       99.570
GET    1003.519       99.609
GET    1003.519       99.629
GET    1003.519       99.648
GET    1003.519       99.668
GET    1019.903       99.688
GET    1019.903       99.707
GET    1019.903       99.727
GET    1019.903       99.746
GET    1019.903       99.766
GET    1019.903       99.785
GET    1019.903       99.805
GET    1019.903       99.814
GET    1028.095       99.824
GET    1028.095       99.834
GET    1028.095       99.844
GET    1028.095       99.854
GET    1028.095       99.863
GET    1028.095       99.873
GET    1028.095       99.883
GET    1040.383       99.893
GET    1040.383       99.902
GET    1040.383       99.907
GET    1040.383       99.912
GET    1040.383       99.917
GET    1040.383       99.922
GET    1040.383       99.927
GET    1040.383       99.932
GET    1040.383       99.937
GET    1040.383       99.941
GET    1040.383       99.946
GET    1044.479       99.951
GET    1044.479       99.954
GET    1044.479       99.956
GET    1048.575       99.958
GET    1048.575      100.000
---
WAIT      0.000      100.000
