20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         9581.64      9581.64         0.00       312.56438       290.81500       970.75100      1036.28700       763.82 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       9581.64      9581.64         0.00       312.56438       290.81500       970.75100      1036.28700       763.82 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      19.967        0.000
GET      33.791        5.000
GET      56.319       10.000
GET     101.887       15.000
GET     132.095       20.000
GET     177.151       25.000
GET     203.775       30.000
GET     229.375       35.000
GET     237.567       40.000
GET     262.143       45.000
GET     290.815       50.000
GET     296.959       52.500
GET     303.103       55.000
GET     317.439       57.500
GET     319.487       60.000
GET     321.535       62.500
GET     325.631       65.000
GET     337.919       67.500
GET     344.063       70.000
GET     350.207       72.500
GET     354.303       75.000
GET     354.303       76.250
GET     356.351       77.500
GET     358.399       78.750
GET     358.399       80.000
GET     358.399       81.250
GET     391.167       82.500
GET     438.271       83.750
GET     485.375       85.000
GET     511.999       86.250
GET     548.863       87.500
GET     561.151       88.125
GET     589.823       88.750
GET     614.399       89.375
GET     692.223       90.000
GET     712.703       90.625
GET     729.087       91.250
GET     741.375       91.875
GET     778.239       92.500
GET     802.815       93.125
GET     823.295       93.750
GET     835.583       94.062
GET     843.775       94.375
GET     856.063       94.688
GET     864.255       95.000
GET     876.543       95.312
GET     884.735       95.625
GET     892.927       95.938
GET     901.119       96.250
GET     913.407       96.562
GET     929.791       96.875
GET     933.887       97.031
GET     933.887       97.188
GET     937.983       97.344
GET     942.079       97.500
GET     946.175       97.656
GET     950.271       97.812
GET     950.271       97.969
GET     954.367       98.125
GET     954.367       98.281
GET     958.463       98.438
GET     962.559       98.516
GET     962.559       98.594
GET     962.559       98.672
GET     966.655       98.750
GET     966.655       98.828
GET     970.751       98.906
GET     970.751       98.984
GET     978.943       99.062
GET     983.039       99.141
GET     987.135       99.219
GET     987.135       99.258
GET     987.135       99.297
GET     991.231       99.336
GET     999.423       99.375
GET     999.423       99.414
GET    1003.519       99.453
GET    1007.615       99.492
GET    1019.903       99.531
GET    1019.903       99.570
GET    1023.999       99.609
GET    1023.999       99.629
GET    1023.999       99.648
GET    1023.999       99.668
GET    1028.095       99.688
GET    1028.095       99.707
GET    1032.191       99.727
GET    1032.191       99.746
GET    1032.191       99.766
GET    1032.191       99.785
GET    1032.191       99.805
GET    1036.287       99.814
GET    1036.287       99.824
GET    1036.287       99.834
GET    1036.287       99.844
GET    1036.287       99.854
GET    1036.287       99.863
GET    1036.287       99.873
GET    1036.287       99.883
GET    1036.287       99.893
GET    1036.287       99.902
GET    1036.287       99.907
GET    1036.287       99.912
GET    1036.287       99.917
GET    1036.287       99.922
GET    1036.287       99.927
GET    1036.287       99.932
GET    1036.287       99.937
GET    1036.287       99.941
GET    1036.287       99.946
GET    1036.287       99.951
GET    1036.287       99.954
GET    1036.287       99.956
GET    1036.287       99.958
GET    1036.287       99.961
GET    1036.287       99.963
GET    1036.287       99.966
GET    1036.287       99.968
GET    1036.287       99.971
GET    1036.287       99.973
GET    1036.287       99.976
GET    1036.287       99.977
GET    1036.287       99.978
GET    1040.383       99.979
GET    1040.383       99.980
GET    1040.383       99.982
GET    1040.383       99.983
GET    1040.383       99.984
GET    1040.383       99.985
GET    1048.575       99.987
GET    1048.575      100.000
---
WAIT      0.000      100.000
