20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         8507.08      8507.08         0.00       367.98784       317.43900      1036.28700      1048.57500       678.16 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       8507.08      8507.08         0.00       367.98784       317.43900      1036.28700      1048.57500       678.16 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      45.055        0.000
GET     113.663        5.000
GET     142.335       10.000
GET     161.791       15.000
GET     184.319       20.000
GET     203.775       25.000
GET     247.807       30.000
GET     262.143       35.000
GET     272.383       40.000
GET     299.007       45.000
GET     317.439       50.000
GET     319.487       52.500
GET     329.727       55.000
GET     331.775       57.500
GET     339.967       60.000
GET     339.967       62.500
GET     344.063       65.000
GET     362.495       67.500
GET     364.543       70.000
GET     393.215       72.500
GET     419.839       75.000
GET     434.175       76.250
GET     448.511       77.500
GET     462.847       78.750
GET     481.279       80.000
GET     505.855       81.250
GET     532.479       82.500
GET     643.071       83.750
GET     671.743       85.000
GET     712.703       86.250
GET     745.471       87.500
GET     757.759       88.125
GET     761.855       88.750
GET     774.143       89.375
GET     790.527       90.000
GET     806.911       90.625
GET     815.103       91.250
GET     819.199       91.875
GET     827.391       92.500
GET     851.967       93.125
GET     872.447       93.750
GET     876.543       94.062
GET     880.639       94.375
GET     892.927       94.688
GET     897.023       95.000
GET     901.119       95.312
GET     913.407       95.625
GET     921.599       95.938
GET     929.791       96.250
GET     937.983       96.562
GET     946.175       96.875
GET     950.271       97.031
GET     962.559       97.188
GET     974.847       97.344
GET     983.039       97.500
GET     983.039       97.656
GET     991.231       97.812
GET     995.327       97.969
GET    1019.903       98.125
GET    1023.999       98.281
GET    1028.095       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1048.575       99.668
GET    1048.575      100.000
---
WAIT      0.000      100.000
