20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        14389.99     14389.99         0.00       364.76970       329.72700       999.42300      1048.57500      1147.12 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14389.99     14389.99         0.00       364.76970       329.72700       999.42300      1048.57500      1147.12 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      59.391        0.000
GET     160.767        5.000
GET     195.583       10.000
GET     226.303       15.000
GET     245.759       20.000
GET     262.143       25.000
GET     282.623       30.000
GET     292.863       35.000
GET     299.007       40.000
GET     309.247       45.000
GET     329.727       50.000
GET     342.015       52.500
GET     344.063       55.000
GET     352.255       57.500
GET     358.399       60.000
GET     360.447       62.500
GET     362.495       65.000
GET     364.543       67.500
GET     368.639       70.000
GET     372.735       72.500
GET     376.831       75.000
GET     378.879       76.250
GET     385.023       77.500
GET     387.071       78.750
GET     399.359       80.000
GET     403.455       81.250
GET     405.503       82.500
GET     405.503       83.750
GET     419.839       85.000
GET     491.519       86.250
GET     561.151       87.500
GET     585.727       88.125
GET     610.303       88.750
GET     622.591       89.375
GET     643.071       90.000
GET     675.839       90.625
GET     720.895       91.250
GET     741.375       91.875
GET     770.047       92.500
GET     786.431       93.125
GET     811.007       93.750
GET     819.199       94.062
GET     823.295       94.375
GET     831.487       94.688
GET     843.775       95.000
GET     851.967       95.312
GET     860.159       95.625
GET     880.639       95.938
GET     897.023       96.250
GET     905.215       96.562
GET     917.503       96.875
GET     917.503       97.031
GET     921.599       97.188
GET     925.695       97.344
GET     925.695       97.500
GET     933.887       97.656
GET     946.175       97.812
GET     950.271       97.969
GET     966.655       98.125
GET     970.751       98.281
GET     974.847       98.438
GET     978.943       98.516
GET     983.039       98.594
GET     987.135       98.672
GET     995.327       98.750
GET     995.327       98.828
GET     999.423       98.906
GET     999.423       98.984
GET     999.423       99.062
GET    1003.519       99.141
GET    1007.615       99.219
GET    1007.615       99.258
GET    1007.615       99.297
GET    1011.711       99.336
GET    1011.711       99.375
GET    1011.711       99.414
GET    1011.711       99.453
GET    1032.191       99.492
GET    1032.191       99.531
GET    1032.191       99.570
GET    1032.191       99.609
GET    1032.191       99.629
GET    1032.191       99.648
GET    1032.191       99.668
GET    1032.191       99.688
GET    1040.383       99.707
GET    1040.383       99.727
GET    1040.383       99.746
GET    1040.383       99.766
GET    1040.383       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1048.575       99.873
GET    1048.575      100.000
---
WAIT      0.000      100.000
