20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         8398.97      8398.97         0.00       433.58518       339.96700      1028.09500      1048.57500       669.53 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       8398.97      8398.97         0.00       433.58518       339.96700      1028.09500      1048.57500       669.53 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      12.095        0.000
GET     100.351        5.000
GET     217.087       10.000
GET     238.591       15.000
GET     251.903       20.000
GET     270.335       25.000
GET     280.575       30.000
GET     288.767       35.000
GET     315.391       40.000
GET     329.727       45.000
GET     339.967       50.000
GET     348.159       52.500
GET     356.351       55.000
GET     364.543       57.500
GET     387.071       60.000
GET     391.167       62.500
GET     397.311       65.000
GET     456.703       67.500
GET     501.759       70.000
GET     528.383       72.500
GET     577.535       75.000
GET     602.111       76.250
GET     618.495       77.500
GET     638.975       78.750
GET     684.031       80.000
GET     704.511       81.250
GET     724.991       82.500
GET     770.047       83.750
GET     790.527       85.000
GET     806.911       86.250
GET     827.391       87.500
GET     831.487       88.125
GET     843.775       88.750
GET     851.967       89.375
GET     868.351       90.000
GET     880.639       90.625
GET     888.831       91.250
GET     897.023       91.875
GET     905.215       92.500
GET     917.503       93.125
GET     925.695       93.750
GET     929.791       94.062
GET     937.983       94.375
GET     942.079       94.688
GET     954.367       95.000
GET     958.463       95.312
GET     978.943       95.625
GET     987.135       95.938
GET     991.231       96.250
GET     995.327       96.562
GET     999.423       96.875
GET    1003.519       97.031
GET    1007.615       97.188
GET    1007.615       97.344
GET    1011.711       97.500
GET    1011.711       97.656
GET    1015.807       97.812
GET    1019.903       97.969
GET    1019.903       98.125
GET    1019.903       98.281
GET    1023.999       98.438
GET    1023.999       98.516
GET    1028.095       98.594
GET    1028.095       98.672
GET    1028.095       98.750
GET    1028.095       98.828
GET    1028.095       98.906
GET    1028.095       98.984
GET    1032.191       99.062
GET    1032.191       99.141
GET    1032.191       99.219
GET    1032.191       99.258
GET    1032.191       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1040.383       99.707
GET    1040.383       99.727
GET    1040.383       99.746
GET    1040.383       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1048.575       99.893
GET    1048.575      100.000
---
WAIT      0.000      100.000
