20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        11705.63     11705.63         0.00       382.15284       305.15100      1015.80700      1036.28700       933.13 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      11705.63     11705.63         0.00       382.15284       305.15100      1015.80700      1036.28700       933.13 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      43.519        0.000
GET     220.159        5.000
GET     229.375       10.000
GET     241.663       15.000
GET     262.143       20.000
GET     274.431       25.000
GET     278.527       30.000
GET     288.767       35.000
GET     290.815       40.000
GET     294.911       45.000
GET     305.151       50.000
GET     309.247       52.500
GET     315.391       55.000
GET     321.535       57.500
GET     329.727       60.000
GET     337.919       62.500
GET     348.159       65.000
GET     356.351       67.500
GET     358.399       70.000
GET     372.735       72.500
GET     374.783       75.000
GET     374.783       76.250
GET     374.783       77.500
GET     387.071       78.750
GET     415.743       80.000
GET     452.607       81.250
GET     507.903       82.500
GET     528.383       83.750
GET     573.439       85.000
GET     618.495       86.250
GET     647.167       87.500
GET     663.551       88.125
GET     688.127       88.750
GET     720.895       89.375
GET     741.375       90.000
GET     761.855       90.625
GET     774.143       91.250
GET     790.527       91.875
GET     868.351       92.500
GET     905.215       93.125
GET     921.599       93.750
GET     925.695       94.062
GET     933.887       94.375
GET     933.887       94.688
GET     942.079       95.000
GET     946.175       95.312
GET     950.271       95.625
GET     954.367       95.938
GET     958.463       96.250
GET     962.559       96.562
GET     966.655       96.875
GET     970.751       97.031
GET     974.847       97.188
GET     978.943       97.344
GET     978.943       97.500
GET     987.135       97.656
GET     991.231       97.812
GET     991.231       97.969
GET     995.327       98.125
GET    1003.519       98.281
GET    1007.615       98.438
GET    1011.711       98.516
GET    1011.711       98.594
GET    1011.711       98.672
GET    1015.807       98.750
GET    1015.807       98.828
GET    1015.807       98.906
GET    1015.807       98.984
GET    1019.903       99.062
GET    1019.903       99.141
GET    1019.903       99.219
GET    1023.999       99.258
GET    1023.999       99.297
GET    1023.999       99.336
GET    1023.999       99.375
GET    1023.999       99.414
GET    1023.999       99.453
GET    1023.999       99.492
GET    1023.999       99.531
GET    1028.095       99.570
GET    1028.095       99.609
GET    1028.095       99.629
GET    1028.095       99.648
GET    1028.095       99.668
GET    1028.095       99.688
GET    1028.095       99.707
GET    1028.095       99.727
GET    1032.191       99.746
GET    1032.191       99.766
GET    1032.191       99.785
GET    1032.191       99.805
GET    1032.191       99.814
GET    1032.191       99.824
GET    1032.191       99.834
GET    1032.191       99.844
GET    1032.191       99.854
GET    1032.191       99.863
GET    1032.191       99.873
GET    1036.287       99.883
GET    1036.287       99.893
GET    1036.287       99.902
GET    1036.287       99.907
GET    1036.287       99.912
GET    1040.383       99.917
GET    1040.383       99.922
GET    1040.383       99.927
GET    1040.383       99.932
GET    1040.383       99.937
GET    1048.575       99.941
GET    1048.575      100.000
---
WAIT      0.000      100.000
