20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        11231.00     11231.00         0.00       360.72866       342.01500       983.03900      1044.47900       895.29 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      11231.00     11231.00         0.00       360.72866       342.01500       983.03900      1044.47900       895.29 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      77.311        0.000
GET     152.575        5.000
GET     169.983       10.000
GET     205.823       15.000
GET     227.327       20.000
GET     253.951       25.000
GET     278.527       30.000
GET     301.055       35.000
GET     309.247       40.000
GET     315.391       45.000
GET     342.015       50.000
GET     346.111       52.500
GET     354.303       55.000
GET     356.351       57.500
GET     362.495       60.000
GET     370.687       62.500
GET     374.783       65.000
GET     378.879       67.500
GET     382.975       70.000
GET     385.023       72.500
GET     385.023       75.000
GET     393.215       76.250
GET     405.503       77.500
GET     407.551       78.750
GET     417.791       80.000
GET     423.935       81.250
GET     425.983       82.500
GET     434.175       83.750
GET     434.175       85.000
GET     452.607       86.250
GET     501.759       87.500
GET     540.671       88.125
GET     569.343       88.750
GET     589.823       89.375
GET     602.111       90.000
GET     626.687       90.625
GET     659.455       91.250
GET     692.223       91.875
GET     716.799       92.500
GET     737.279       93.125
GET     761.855       93.750
GET     782.335       94.062
GET     790.527       94.375
GET     802.815       94.688
GET     819.199       95.000
GET     831.487       95.312
GET     843.775       95.625
GET     856.063       95.938
GET     864.255       96.250
GET     880.639       96.562
GET     892.927       96.875
GET     909.311       97.031
GET     913.407       97.188
GET     921.599       97.344
GET     929.791       97.500
GET     929.791       97.656
GET     937.983       97.812
GET     942.079       97.969
GET     950.271       98.125
GET     958.463       98.281
GET     962.559       98.438
GET     966.655       98.516
GET     970.751       98.594
GET     974.847       98.672
GET     974.847       98.750
GET     978.943       98.828
GET     978.943       98.906
GET     983.039       98.984
GET     987.135       99.062
GET     991.231       99.141
GET     995.327       99.219
GET     995.327       99.258
GET     995.327       99.297
GET    1003.519       99.336
GET    1007.615       99.375
GET    1019.903       99.414
GET    1023.999       99.453
GET    1023.999       99.492
GET    1028.095       99.531
GET    1028.095       99.570
GET    1032.191       99.609
GET    1032.191       99.629
GET    1032.191       99.648
GET    1032.191       99.668
GET    1036.287       99.688
GET    1036.287       99.707
GET    1036.287       99.727
GET    1036.287       99.746
GET    1040.383       99.766
GET    1040.383       99.785
GET    1040.383       99.805
GET    1040.383       99.814
GET    1040.383       99.824
GET    1040.383       99.834
GET    1040.383       99.844
GET    1040.383       99.854
GET    1040.383       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1048.575       99.932
GET    1048.575      100.000
---
WAIT      0.000      100.000
