20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         8584.17      8584.17         0.00       357.24673       299.00700       991.23100      1044.47900       684.30 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       8584.17      8584.17         0.00       357.24673       299.00700       991.23100      1044.47900       684.30 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      68.607        0.000
GET     221.183        5.000
GET     236.543       10.000
GET     244.735       15.000
GET     251.903       20.000
GET     268.287       25.000
GET     272.383       30.000
GET     284.671       35.000
GET     294.911       40.000
GET     296.959       45.000
GET     299.007       50.000
GET     307.199       52.500
GET     313.343       55.000
GET     319.487       57.500
GET     321.535       60.000
GET     329.727       62.500
GET     329.727       65.000
GET     329.727       67.500
GET     329.727       70.000
GET     339.967       72.500
GET     344.063       75.000
GET     346.111       76.250
GET     346.111       77.500
GET     356.351       78.750
GET     356.351       80.000
GET     356.351       81.250
GET     356.351       82.500
GET     440.319       83.750
GET     462.847       85.000
GET     483.327       86.250
GET     503.807       87.500
GET     522.239       88.125
GET     544.767       88.750
GET     622.591       89.375
GET     667.647       90.000
GET     684.031       90.625
GET     704.511       91.250
GET     724.991       91.875
GET     745.471       92.500
GET     770.047       93.125
GET     790.527       93.750
GET     802.815       94.062
GET     811.007       94.375
GET     819.199       94.688
GET     827.391       95.000
GET     835.583       95.312
GET     847.871       95.625
GET     864.255       95.938
GET     888.831       96.250
GET     921.599       96.562
GET     937.983       96.875
GET     942.079       97.031
GET     946.175       97.188
GET     950.271       97.344
GET     954.367       97.500
GET     958.463       97.656
GET     958.463       97.812
GET     962.559       97.969
GET     966.655       98.125
GET     966.655       98.281
GET     970.751       98.438
GET     974.847       98.516
GET     974.847       98.594
GET     978.943       98.672
GET     983.039       98.750
GET     987.135       98.828
GET     987.135       98.906
GET     991.231       98.984
GET     991.231       99.062
GET     991.231       99.141
GET     995.327       99.219
GET    1003.519       99.258
GET    1003.519       99.297
GET    1003.519       99.336
GET    1007.615       99.375
GET    1007.615       99.414
GET    1007.615       99.453
GET    1007.615       99.492
GET    1011.711       99.531
GET    1011.711       99.570
GET    1011.711       99.609
GET    1015.807       99.629
GET    1015.807       99.648
GET    1019.903       99.668
GET    1032.191       99.688
GET    1036.287       99.707
GET    1036.287       99.727
GET    1036.287       99.746
GET    1036.287       99.766
GET    1036.287       99.785
GET    1040.383       99.805
GET    1040.383       99.814
GET    1040.383       99.824
GET    1040.383       99.834
GET    1040.383       99.844
GET    1040.383       99.854
GET    1040.383       99.863
GET    1040.383       99.873
GET    1040.383       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1048.575       99.907
GET    1048.575      100.000
---
WAIT      0.000      100.000
