20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6661.47      6661.47         0.00       303.90191       276.47900       983.03900      1040.38300       531.03 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6661.47      6661.47         0.00       303.90191       276.47900       983.03900      1040.38300       531.03 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       8.031        0.000
GET     135.167        5.000
GET     158.719       10.000
GET     182.271       15.000
GET     198.655       20.000
GET     219.135       25.000
GET     232.447       30.000
GET     240.639       35.000
GET     255.999       40.000
GET     266.239       45.000
GET     276.479       50.000
GET     284.671       52.500
GET     294.911       55.000
GET     299.007       57.500
GET     305.151       60.000
GET     309.247       62.500
GET     317.439       65.000
GET     319.487       67.500
GET     327.679       70.000
GET     335.871       72.500
GET     337.919       75.000
GET     339.967       76.250
GET     342.015       77.500
GET     344.063       78.750
GET     348.159       80.000
GET     358.399       81.250
GET     370.687       82.500
GET     370.687       83.750
GET     374.783       85.000
GET     393.215       86.250
GET     399.359       87.500
GET     401.407       88.125
GET     401.407       88.750
GET     405.503       89.375
GET     405.503       90.000
GET     407.551       90.625
GET     409.599       91.250
GET     421.887       91.875
GET     493.567       92.500
GET     544.767       93.125
GET     602.111       93.750
GET     614.399       94.062
GET     634.879       94.375
GET     651.263       94.688
GET     679.935       95.000
GET     708.607       95.312
GET     733.183       95.625
GET     761.855       95.938
GET     778.239       96.250
GET     798.719       96.562
GET     823.295       96.875
GET     843.775       97.031
GET     851.967       97.188
GET     872.447       97.344
GET     884.735       97.500
GET     897.023       97.656
GET     909.311       97.812
GET     921.599       97.969
GET     933.887       98.125
GET     946.175       98.281
GET     954.367       98.438
GET     958.463       98.516
GET     962.559       98.594
GET     962.559       98.672
GET     966.655       98.750
GET     970.751       98.828
GET     974.847       98.906
GET     983.039       98.984
GET     995.327       99.062
GET     999.423       99.141
GET    1003.519       99.219
GET    1003.519       99.258
GET    1011.711       99.297
GET    1015.807       99.336
GET    1015.807       99.375
GET    1015.807       99.414
GET    1019.903       99.453
GET    1019.903       99.492
GET    1019.903       99.531
GET    1023.999       99.570
GET    1028.095       99.609
GET    1028.095       99.629
GET    1028.095       99.648
GET    1028.095       99.668
GET    1028.095       99.688
GET    1032.191       99.707
GET    1032.191       99.727
GET    1032.191       99.746
GET    1032.191       99.766
GET    1036.287       99.785
GET    1040.383       99.805
GET    1040.383       99.814
GET    1040.383       99.824
GET    1040.383       99.834
GET    1040.383       99.844
GET    1040.383       99.854
GET    1040.383       99.863
GET    1040.383       99.873
GET    1040.383       99.883
GET    1040.383       99.893
GET    1040.383       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1044.479       99.932
GET    1044.479       99.937
GET    1044.479       99.941
GET    1044.479       99.946
GET    1044.479       99.951
GET    1044.479       99.954
GET    1044.479       99.956
GET    1044.479       99.958
GET    1044.479       99.961
GET    1044.479       99.963
GET    1044.479       99.966
GET    1044.479       99.968
GET    1044.479       99.971
GET    1048.575       99.973
GET    1048.575      100.000
---
WAIT      0.000      100.000
