20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6584.73      6584.73         0.00       342.19403       319.48700       974.84700      1044.47900       524.91 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6584.73      6584.73         0.00       342.19403       319.48700       974.84700      1044.47900       524.91 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      31.743        0.000
GET     172.031        5.000
GET     212.991       10.000
GET     230.399       15.000
GET     243.711       20.000
GET     260.095       25.000
GET     280.575       30.000
GET     286.719       35.000
GET     292.863       40.000
GET     309.247       45.000
GET     319.487       50.000
GET     325.631       52.500
GET     335.871       55.000
GET     337.919       57.500
GET     342.015       60.000
GET     346.111       62.500
GET     348.159       65.000
GET     352.255       67.500
GET     362.495       70.000
GET     364.543       72.500
GET     366.591       75.000
GET     366.591       76.250
GET     368.639       77.500
GET     376.831       78.750
GET     378.879       80.000
GET     380.927       81.250
GET     385.023       82.500
GET     397.311       83.750
GET     403.455       85.000
GET     403.455       86.250
GET     409.599       87.500
GET     411.647       88.125
GET     423.935       88.750
GET     425.983       89.375
GET     428.031       90.000
GET     464.895       90.625
GET     499.711       91.250
GET     522.239       91.875
GET     557.055       92.500
GET     614.399       93.125
GET     655.359       93.750
GET     671.743       94.062
GET     688.127       94.375
GET     704.511       94.688
GET     729.087       95.000
GET     741.375       95.312
GET     757.759       95.625
GET     790.527       95.938
GET     815.103       96.250
GET     827.391       96.562
GET     851.967       96.875
GET     864.255       97.031
GET     872.447       97.188
GET     888.831       97.344
GET     897.023       97.500
GET     909.311       97.656
GET     917.503       97.812
GET     921.599       97.969
GET     929.791       98.125
GET     937.983       98.281
GET     946.175       98.438
GET     950.271       98.516
GET     958.463       98.594
GET     962.559       98.672
GET     966.655       98.750
GET     970.751       98.828
GET     970.751       98.906
GET     974.847       98.984
GET     978.943       99.062
GET     983.039       99.141
GET     987.135       99.219
GET     991.231       99.258
GET     991.231       99.297
GET     995.327       99.336
GET     999.423       99.375
GET     999.423       99.414
GET    1003.519       99.453
GET    1007.615       99.492
GET    1011.711       99.531
GET    1011.711       99.570
GET    1011.711       99.609
GET    1023.999       99.629
GET    1023.999       99.648
GET    1023.999       99.668
GET    1028.095       99.688
GET    1028.095       99.707
GET    1032.191       99.727
GET    1032.191       99.746
GET    1032.191       99.766
GET    1040.383       99.785
GET    1040.383       99.805
GET    1040.383       99.814
GET    1040.383       99.824
GET    1040.383       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1048.575       99.932
GET    1048.575      100.000
---
WAIT      0.000      100.000
