20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6619.95      6619.95         0.00       340.70286       325.63100       954.36700      1036.28700       527.71 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6619.95      6619.95         0.00       340.70286       325.63100       954.36700      1036.28700       527.71 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      25.727        0.000
GET     154.623        5.000
GET     182.271       10.000
GET     214.015       15.000
GET     242.687       20.000
GET     259.071       25.000
GET     276.479       30.000
GET     296.959       35.000
GET     309.247       40.000
GET     315.391       45.000
GET     325.631       50.000
GET     333.823       52.500
GET     339.967       55.000
GET     344.063       57.500
GET     350.207       60.000
GET     356.351       62.500
GET     360.447       65.000
GET     366.591       67.500
GET     372.735       70.000
GET     376.831       72.500
GET     380.927       75.000
GET     385.023       76.250
GET     391.167       77.500
GET     401.407       78.750
GET     405.503       80.000
GET     419.839       81.250
GET     423.935       82.500
GET     430.079       83.750
GET     434.175       85.000
GET     436.223       86.250
GET     438.271       87.500
GET     446.463       88.125
GET     448.511       88.750
GET     450.559       89.375
GET     450.559       90.000
GET     452.607       90.625
GET     456.703       91.250
GET     460.799       91.875
GET     462.847       92.500
GET     475.135       93.125
GET     532.479       93.750
GET     593.919       94.062
GET     626.687       94.375
GET     643.071       94.688
GET     659.455       95.000
GET     675.839       95.312
GET     688.127       95.625
GET     708.607       95.938
GET     741.375       96.250
GET     761.855       96.562
GET     782.335       96.875
GET     790.527       97.031
GET     806.911       97.188
GET     831.487       97.344
GET     835.583       97.500
GET     847.871       97.656
GET     856.063       97.812
GET     872.447       97.969
GET     892.927       98.125
GET     905.215       98.281
GET     913.407       98.438
GET     917.503       98.516
GET     921.599       98.594
GET     929.791       98.672
GET     933.887       98.750
GET     942.079       98.828
GET     946.175       98.906
GET     954.367       98.984
GET     966.655       99.062
GET     974.847       99.141
GET     983.039       99.219
GET     983.039       99.258
GET     987.135       99.297
GET     991.231       99.336
GET     991.231       99.375
GET     991.231       99.414
GET     995.327       99.453
GET     995.327       99.492
GET     995.327       99.531
GET    1003.519       99.570
GET    1015.807       99.609
GET    1015.807       99.629
GET    1015.807       99.648
GET    1015.807       99.668
GET    1019.903       99.688
GET    1019.903       99.707
GET    1023.999       99.727
GET    1023.999       99.746
GET    1028.095       99.766
GET    1028.095       99.785
GET    1028.095       99.805
GET    1028.095       99.814
GET    1032.191       99.824
GET    1032.191       99.834
GET    1032.191       99.844
GET    1032.191       99.854
GET    1036.287       99.863
GET    1036.287       99.873
GET    1036.287       99.883
GET    1036.287       99.893
GET    1036.287       99.902
GET    1036.287       99.907
GET    1036.287       99.912
GET    1036.287       99.917
GET    1040.383       99.922
GET    1044.479       99.927
GET    1044.479       99.932
GET    1044.479       99.937
GET    1048.575       99.941
GET    1048.575      100.000
---
WAIT      0.000      100.000
