20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         6802.63      6802.63         0.00       334.74951       305.15100       991.23100      1044.47900       542.28 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6802.63      6802.63         0.00       334.74951       305.15100       991.23100      1044.47900       542.28 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      75.775        0.000
GET     145.407        5.000
GET     188.415       10.000
GET     200.703       15.000
GET     216.063       20.000
GET     242.687       25.000
GET     253.951       30.000
GET     266.239       35.000
GET     284.671       40.000
GET     292.863       45.000
GET     305.151       50.000
GET     311.295       52.500
GET     317.439       55.000
GET     327.679       57.500
GET     335.871       60.000
GET     344.063       62.500
GET     354.303       65.000
GET     364.543       67.500
GET     368.639       70.000
GET     376.831       72.500
GET     380.927       75.000
GET     382.975       76.250
GET     395.263       77.500
GET     403.455       78.750
GET     405.503       80.000
GET     407.551       81.250
GET     417.791       82.500
GET     428.031       83.750
GET     440.319       85.000
GET     442.367       86.250
GET     446.463       87.500
GET     448.511       88.125
GET     450.559       88.750
GET     452.607       89.375
GET     454.655       90.000
GET     454.655       90.625
GET     473.087       91.250
GET     524.287       91.875
GET     557.055       92.500
GET     598.015       93.125
GET     634.879       93.750
GET     659.455       94.062
GET     679.935       94.375
GET     696.319       94.688
GET     708.607       95.000
GET     729.087       95.312
GET     745.471       95.625
GET     765.951       95.938
GET     790.527       96.250
GET     806.911       96.562
GET     847.871       96.875
GET     851.967       97.031
GET     860.159       97.188
GET     872.447       97.344
GET     884.735       97.500
GET     897.023       97.656
GET     905.215       97.812
GET     913.407       97.969
GET     929.791       98.125
GET     937.983       98.281
GET     942.079       98.438
GET     950.271       98.516
GET     950.271       98.594
GET     954.367       98.672
GET     962.559       98.750
GET     970.751       98.828
GET     983.039       98.906
GET     991.231       98.984
GET     991.231       99.062
GET     999.423       99.141
GET     999.423       99.219
GET    1007.615       99.258
GET    1007.615       99.297
GET    1007.615       99.336
GET    1011.711       99.375
GET    1011.711       99.414
GET    1011.711       99.453
GET    1015.807       99.492
GET    1019.903       99.531
GET    1028.095       99.570
GET    1028.095       99.609
GET    1028.095       99.629
GET    1028.095       99.648
GET    1028.095       99.668
GET    1028.095       99.688
GET    1032.191       99.707
GET    1032.191       99.727
GET    1032.191       99.746
GET    1036.287       99.766
GET    1036.287       99.785
GET    1040.383       99.805
GET    1040.383       99.814
GET    1040.383       99.824
GET    1040.383       99.834
GET    1040.383       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1048.575       99.907
GET    1048.575      100.000
---
WAIT      0.000      100.000
