20        Threads
5         Connections per thread
150000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        33354.55          ---          ---         2.98366         2.81500         5.85500         7.55100     35845.16 
Gets            0.00         0.00         0.00             ---             ---             ---             ---         0.00 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      33354.55         0.00         0.00         2.98366         2.81500         5.85500         7.55100     35845.16 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET       2.527        5.000
SET       2.591       10.000
SET       2.623       15.000
SET       2.655       20.000
SET       2.687       25.000
SET       2.719       30.000
SET       2.735       35.000
SET       2.767       40.000
SET       2.799       45.000
SET       2.815       50.000
SET       2.831       52.500
SET       2.847       55.000
SET       2.863       57.500
SET       2.879       60.000
SET       2.895       62.500
SET       2.911       65.000
SET       2.927       67.500
SET       2.943       70.000
SET       2.975       72.500
SET       3.007       75.000
SET       3.023       76.250
SET       3.039       77.500
SET       3.055       78.750
SET       3.087       80.000
SET       3.119       81.250
SET       3.167       82.500
SET       3.215       83.750
SET       3.279       85.000
SET       3.375       86.250
SET       3.455       87.500
SET       3.487       88.125
SET       3.519       88.750
SET       3.567       89.375
SET       3.599       90.000
SET       3.631       90.625
SET       3.647       91.250
SET       3.679       91.875
SET       3.711       92.500
SET       3.743       93.125
SET       3.775       93.750
SET       3.807       94.062
SET       3.823       94.375
SET       3.855       94.688
SET       3.887       95.000
SET       3.951       95.312
SET       4.079       95.625
SET       4.479       95.938
SET       4.863       96.250
SET       5.087       96.562
SET       5.215       96.875
SET       5.279       97.031
SET       5.311       97.188
SET       5.343       97.344
SET       5.407       97.500
SET       5.439       97.656
SET       5.503       97.812
SET       5.535       97.969
SET       5.567       98.125
SET       5.631       98.281
SET       5.663       98.438
SET       5.695       98.516
SET       5.727       98.594
SET       5.727       98.672
SET       5.759       98.750
SET       5.791       98.828
SET       5.823       98.906
SET       5.855       98.984
SET       5.887       99.062
SET       5.919       99.141
SET       5.951       99.219
SET       5.983       99.258
SET       6.015       99.297
SET       6.047       99.336
SET       6.079       99.375
SET       6.143       99.414
SET       6.175       99.453
SET       6.239       99.492
SET       6.335       99.531
SET       6.431       99.570
SET       6.559       99.609
SET       6.655       99.629
SET       6.751       99.648
SET       6.815       99.668
SET       6.879       99.688
SET       6.943       99.707
SET       7.007       99.727
SET       7.103       99.746
SET       7.135       99.766
SET       7.199       99.785
SET       7.263       99.805
SET       7.295       99.814
SET       7.327       99.824
SET       7.359       99.834
SET       7.359       99.844
SET       7.391       99.854
SET       7.423       99.863
SET       7.455       99.873
SET       7.487       99.883
SET       7.519       99.893
SET       7.551       99.902
SET       7.551       99.907
SET       7.583       99.912
SET       7.583       99.917
SET       7.615       99.922
SET       7.647       99.927
SET       7.679       99.932
SET       7.711       99.937
SET       7.743       99.941
SET       7.807       99.946
SET       7.871       99.951
SET       7.903       99.954
SET       7.967       99.956
SET       8.063       99.958
SET       8.127       99.961
SET       8.191       99.963
SET       8.319       99.966
SET       8.383       99.968
SET       8.511       99.971
SET       8.575       99.973
SET       8.703       99.976
SET       8.767       99.977
SET       8.767       99.978
SET       8.831       99.979
SET       8.895       99.980
SET       8.959       99.982
SET       8.959       99.983
SET       9.023       99.984
SET       9.087       99.985
SET       9.151       99.987
SET       9.215       99.988
SET       9.215       99.988
SET       9.279       99.989
SET       9.279       99.990
SET       9.343       99.990
SET       9.343       99.991
SET       9.407       99.991
SET       9.407       99.992
SET       9.471       99.993
SET       9.535       99.993
SET       9.599       99.994
SET       9.599       99.994
SET       9.599       99.995
SET       9.663       99.995
SET       9.727       99.995
SET       9.727       99.995
SET       9.791       99.996
SET       9.791       99.996
SET       9.855       99.996
SET       9.919       99.997
SET       9.983       99.997
SET       9.983       99.997
SET      10.111       99.997
SET      10.175       99.997
SET      10.239       99.998
SET      10.303       99.998
SET      10.495       99.998
SET      10.687       99.998
SET      10.943       99.998
SET      11.263       99.998
SET      11.967       99.998
SET      12.479       99.999
SET      12.863       99.999
SET      13.055       99.999
SET      13.247       99.999
SET      13.631       99.999
SET      13.887       99.999
SET      14.271       99.999
SET      14.911       99.999
SET      15.359       99.999
SET      15.807       99.999
SET      16.063       99.999
SET      16.639       99.999
SET      16.895       99.999
SET      17.151       99.999
SET      17.279       99.999
SET      17.535       99.999
SET      18.047      100.000
SET      18.303      100.000
SET      18.559      100.000
SET      18.943      100.000
SET      19.071      100.000
SET      19.199      100.000
SET      19.455      100.000
SET      19.711      100.000
SET      19.839      100.000
SET      19.967      100.000
SET      19.967      100.000
SET      20.095      100.000
SET      20.095      100.000
SET      20.223      100.000
SET      20.223      100.000
SET      20.223      100.000
SET      20.223      100.000
SET      20.351      100.000
SET      20.607      100.000
SET      20.735      100.000
SET      20.863      100.000
SET      20.863      100.000
SET      20.863      100.000
SET      20.991      100.000
SET      20.991      100.000
SET      21.119      100.000
SET      21.119      100.000
SET      21.247      100.000
SET      21.375      100.000
SET      21.375      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.503      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.631      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      21.759      100.000
SET      22.015      100.000
SET      22.015      100.000
---
GET       0.000      100.000
---
WAIT      0.000      100.000
