100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        30769.39          ---          ---        14.76516        14.59100        26.87900        30.84700     33074.42 
Gets         3076.66      2991.31        85.36        14.75828        14.59100        25.98300        30.84700      3206.43 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      33846.05      2991.31        85.36        14.76453        14.59100        26.87900        30.84700     36280.85 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.175        0.000
SET      13.503        5.000
SET      13.631       10.000
SET      13.759       15.000
SET      13.887       20.000
SET      13.951       25.000
SET      14.079       30.000
SET      14.207       35.000
SET      14.335       40.000
SET      14.463       45.000
SET      14.591       50.000
SET      14.655       52.500
SET      14.719       55.000
SET      14.783       57.500
SET      14.847       60.000
SET      14.911       62.500
SET      14.975       65.000
SET      15.039       67.500
SET      15.103       70.000
SET      15.167       72.500
SET      15.231       75.000
SET      15.231       76.250
SET      15.295       77.500
SET      15.295       78.750
SET      15.359       80.000
SET      15.359       81.250
SET      15.423       82.500
SET      15.487       83.750
SET      15.487       85.000
SET      15.551       86.250
SET      15.615       87.500
SET      15.615       88.125
SET      15.679       88.750
SET      15.679       89.375
SET      15.743       90.000
SET      15.743       90.625
SET      15.807       91.250
SET      15.807       91.875
SET      15.871       92.500
SET      15.935       93.125
SET      15.935       93.750
SET      15.999       94.062
SET      15.999       94.375
SET      16.063       94.688
SET      16.063       95.000
SET      16.127       95.312
SET      16.127       95.625
SET      16.191       95.938
SET      16.191       96.250
SET      16.255       96.562
SET      16.319       96.875
SET      16.383       97.031
SET      16.383       97.188
SET      16.511       97.344
SET      16.511       97.500
SET      16.639       97.656
SET      16.767       97.812
SET      17.151       97.969
SET      17.663       98.125
SET      18.303       98.281
SET      19.071       98.438
SET      19.583       98.516
SET      20.095       98.594
SET      20.607       98.672
SET      21.375       98.750
SET      22.399       98.828
SET      24.063       98.906
SET      26.751       98.984
SET      27.263       99.062
SET      27.647       99.141
SET      27.903       99.219
SET      28.159       99.258
SET      28.415       99.297
SET      28.799       99.336
SET      29.055       99.375
SET      29.183       99.414
SET      29.311       99.453
SET      29.439       99.492
SET      29.567       99.531
SET      29.695       99.570
SET      29.695       99.609
SET      29.823       99.629
SET      29.823       99.648
SET      29.951       99.668
SET      29.951       99.688
SET      30.079       99.707
SET      30.079       99.727
SET      30.207       99.746
SET      30.207       99.766
SET      30.335       99.785
SET      30.335       99.805
SET      30.463       99.814
SET      30.463       99.824
SET      30.463       99.834
SET      30.591       99.844
SET      30.591       99.854
SET      30.591       99.863
SET      30.719       99.873
SET      30.719       99.883
SET      30.719       99.893
SET      30.847       99.902
SET      30.847       99.907
SET      30.847       99.912
SET      30.975       99.917
SET      30.975       99.922
SET      30.975       99.927
SET      30.975       99.932
SET      31.103       99.937
SET      31.103       99.941
SET      31.103       99.946
SET      31.231       99.951
SET      31.231       99.954
SET      31.231       99.956
SET      31.231       99.958
SET      31.231       99.961
SET      31.359       99.963
SET      31.359       99.966
SET      31.359       99.968
SET      31.487       99.971
SET      31.487       99.973
SET      31.487       99.976
SET      31.615       99.977
SET      31.615       99.978
SET      31.615       99.979
SET      31.615       99.980
SET      31.743       99.982
SET      31.743       99.983
SET      31.871       99.984
SET      31.871       99.985
SET      31.999       99.987
SET      32.127       99.988
SET      32.127       99.988
SET      32.255       99.989
SET      32.383       99.990
SET      32.511       99.990
SET      32.639       99.991
SET      32.767       99.991
SET      33.023       99.992
SET      33.279       99.993
SET      33.279       99.993
SET      33.535       99.994
SET      33.791       99.994
SET      33.791       99.995
SET      34.047       99.995
SET      34.047       99.995
SET      34.303       99.995
SET      34.303       99.996
SET      34.559       99.996
SET      34.815       99.996
SET      34.815       99.997
SET      35.071       99.997
SET      35.071       99.997
SET      35.327       99.997
SET      35.327       99.997
SET      35.327       99.998
SET      35.583       99.998
SET      35.583       99.998
SET      35.583       99.998
SET      35.839       99.998
SET      35.839       99.998
SET      36.095       99.998
SET      36.095       99.999
SET      36.351       99.999
SET      36.351       99.999
SET      36.351       99.999
SET      36.607       99.999
SET      36.607       99.999
SET      36.863       99.999
SET      36.863       99.999
SET      37.119       99.999
SET      37.119       99.999
SET      37.375       99.999
SET      37.375       99.999
SET      37.375       99.999
SET      37.631       99.999
SET      37.631       99.999
SET      37.887       99.999
SET      38.143      100.000
SET      38.143      100.000
SET      38.399      100.000
SET      38.655      100.000
SET      38.911      100.000
SET      38.911      100.000
SET      39.167      100.000
SET      39.167      100.000
SET      39.423      100.000
SET      39.423      100.000
SET      39.679      100.000
SET      39.679      100.000
SET      39.679      100.000
SET      39.935      100.000
SET      39.935      100.000
SET      40.191      100.000
SET      40.191      100.000
SET      40.191      100.000
SET      40.447      100.000
SET      40.703      100.000
SET      40.703      100.000
SET      41.471      100.000
SET      41.471      100.000
SET      41.727      100.000
SET      41.983      100.000
SET      41.983      100.000
SET      41.983      100.000
SET      42.239      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.751      100.000
