100       Threads
5         Connections per thread
300       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         7273.86          ---          ---        13.75364        13.63100        24.70300        28.92700      7818.77 
Gets        29088.90     24854.24      4234.65        13.74062        13.63100        23.55100        28.92700     26874.81 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      36362.76     24854.24      4234.65        13.74322        13.63100        24.06300        28.92700     34693.58 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.183        0.000
SET      12.415        5.000
SET      12.543       10.000
SET      12.671       15.000
SET      12.799       20.000
SET      12.927       25.000
SET      13.055       30.000
SET      13.247       35.000
SET      13.375       40.000
SET      13.503       45.000
SET      13.631       50.000
SET      13.695       52.500
SET      13.759       55.000
SET      13.823       57.500
SET      13.887       60.000
SET      13.951       62.500
SET      14.015       65.000
SET      14.079       67.500
SET      14.143       70.000
SET      14.207       72.500
SET      14.271       75.000
SET      14.271       76.250
SET      14.335       77.500
SET      14.335       78.750
SET      14.399       80.000
SET      14.399       81.250
SET      14.463       82.500
SET      14.527       83.750
SET      14.527       85.000
SET      14.591       86.250
SET      14.655       87.500
SET      14.655       88.125
SET      14.719       88.750
SET      14.719       89.375
SET      14.783       90.000
SET      14.783       90.625
SET      14.847       91.250
SET      14.911       91.875
SET      14.911       92.500
SET      14.975       93.125
SET      15.039       93.750
SET      15.039       94.062
SET      15.103       94.375
SET      15.103       94.688
SET      15.103       95.000
SET      15.167       95.312
SET      15.231       95.625
SET      15.231       95.938
SET      15.295       96.250
SET      15.359       96.562
SET      15.423       96.875
SET      15.423       97.031
SET      15.487       97.188
SET      15.551       97.344
SET      15.551       97.500
SET      15.615       97.656
SET      15.679       97.812
SET      15.807       97.969
SET      15.999       98.125
SET      16.511       98.281
SET      17.279       98.438
SET      17.663       98.516
SET      18.047       98.594
SET      18.559       98.672
SET      19.327       98.750
SET      20.223       98.828
SET      21.759       98.906
SET      24.575       98.984
SET      25.087       99.062
SET      25.471       99.141
SET      25.855       99.219
SET      26.111       99.258
SET      26.367       99.297
SET      26.623       99.336
