100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        30025.23          ---          ---        15.13073        14.91100        28.03100        31.87100     32267.45 
Gets         3002.25      2859.77       142.48        15.12545        14.91100        26.75100        31.87100      3068.76 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      33027.48      2859.77       142.48        15.13025        14.91100        27.90300        31.87100     35336.20 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.239        0.000
SET      13.887        5.000
SET      14.079       10.000
SET      14.207       15.000
SET      14.335       20.000
SET      14.463       25.000
SET      14.527       30.000
SET      14.655       35.000
SET      14.719       40.000
SET      14.783       45.000
SET      14.911       50.000
SET      14.975       52.500
SET      14.975       55.000
SET      15.039       57.500
SET      15.103       60.000
SET      15.167       62.500
SET      15.167       65.000
SET      15.231       67.500
SET      15.295       70.000
SET      15.359       72.500
SET      15.423       75.000
SET      15.487       76.250
SET      15.487       77.500
SET      15.551       78.750
SET      15.615       80.000
SET      15.679       81.250
SET      15.679       82.500
SET      15.743       83.750
SET      15.807       85.000
SET      15.871       86.250
SET      15.935       87.500
SET      15.999       88.125
SET      15.999       88.750
SET      16.063       89.375
SET      16.127       90.000
SET      16.127       90.625
SET      16.191       91.250
SET      16.255       91.875
SET      16.319       92.500
SET      16.383       93.125
SET      16.511       93.750
SET      16.511       94.062
SET      16.511       94.375
SET      16.639       94.688
SET      16.639       95.000
SET      16.639       95.312
SET      16.767       95.625
SET      16.767       95.938
SET      16.767       96.250
SET      16.895       96.562
SET      16.895       96.875
SET      17.023       97.031
SET      17.023       97.188
SET      17.151       97.344
SET      17.151       97.500
SET      17.279       97.656
SET      17.535       97.812
SET      17.919       97.969
SET      18.559       98.125
SET      19.199       98.281
SET      19.967       98.438
SET      20.479       98.516
SET      20.863       98.594
SET      21.375       98.672
SET      22.143       98.750
SET      23.039       98.828
SET      24.575       98.906
SET      27.775       98.984
SET      28.543       99.062
SET      28.799       99.141
SET      29.055       99.219
SET      29.055       99.258
SET      29.183       99.297
SET      29.311       99.336
SET      29.311       99.375
SET      29.439       99.414
SET      29.567       99.453
SET      29.567       99.492
SET      29.695       99.531
SET      29.823       99.570
SET      29.951       99.609
SET      29.951       99.629
SET      29.951       99.648
SET      30.079       99.668
SET      30.079       99.688
SET      30.207       99.707
SET      30.335       99.727
SET      30.463       99.746
SET      30.463       99.766
SET      30.719       99.785
SET      30.847       99.805
SET      30.975       99.814
SET      31.103       99.824
SET      31.231       99.834
SET      31.359       99.844
SET      31.487       99.854
SET      31.487       99.863
SET      31.615       99.873
SET      31.743       99.883
SET      31.871       99.893
SET      31.999       99.902
SET      31.999       99.907
SET      31.999       99.912
SET      32.127       99.917
SET      32.127       99.922
SET      32.127       99.927
SET      32.255       99.932
SET      32.255       99.937
SET      32.383       99.941
SET      32.383       99.946
SET      32.511       99.951
SET      32.511       99.954
SET      32.511       99.956
SET      32.511       99.958
SET      32.639       99.961
SET      32.639       99.963
SET      32.639       99.966
SET      32.767       99.968
SET      32.767       99.971
SET      33.023       99.973
SET      33.023       99.976
SET      33.023       99.977
SET      33.023       99.978
SET      33.023       99.979
SET      33.023       99.980
SET      33.279       99.982
SET      33.279       99.983
SET      33.279       99.984
SET      33.535       99.985
SET      33.535       99.987
SET      33.791       99.988
SET      34.047       99.988
SET      34.047       99.989
SET      34.303       99.990
SET      34.559       99.990
SET      34.559       99.991
SET      34.815       99.991
SET      35.071       99.992
SET      35.071       99.993
SET      35.327       99.993
SET      35.583       99.994
SET      35.583       99.994
SET      35.839       99.995
SET      35.839       99.995
SET      35.839       99.995
SET      36.095       99.995
SET      36.095       99.996
SET      36.351       99.996
SET      36.607       99.996
SET      36.607       99.997
SET      36.863       99.997
SET      36.863       99.997
SET      37.119       99.997
SET      37.119       99.997
SET      37.119       99.998
SET      37.375       99.998
SET      37.375       99.998
SET      37.631       99.998
SET      37.887       99.998
SET      38.143       99.998
SET      38.143       99.998
SET      38.399       99.999
SET      38.399       99.999
SET      38.399       99.999
SET      38.655       99.999
