100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         7117.50          ---          ---        14.05264        13.88700        25.34300        29.82300      7649.01 
Gets        28467.74     23689.26      4778.48        14.04061        13.88700        22.78300        29.82300     25657.50 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      35585.24     23689.26      4778.48        14.04302        13.88700        23.16700        29.82300     33306.51 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.247        0.000
SET      12.735        5.000
SET      12.927       10.000
SET      13.055       15.000
SET      13.183       20.000
SET      13.311       25.000
SET      13.439       30.000
SET      13.503       35.000
SET      13.631       40.000
SET      13.759       45.000
SET      13.887       50.000
SET      13.951       52.500
SET      14.015       55.000
SET      14.079       57.500
SET      14.143       60.000
SET      14.143       62.500
SET      14.207       65.000
SET      14.271       67.500
SET      14.335       70.000
SET      14.399       72.500
SET      14.463       75.000
SET      14.527       76.250
SET      14.527       77.500
SET      14.591       78.750
SET      14.655       80.000
SET      14.655       81.250
SET      14.719       82.500
SET      14.783       83.750
SET      14.847       85.000
SET      14.847       86.250
SET      14.911       87.500
SET      14.975       88.125
SET      15.039       88.750
SET      15.039       89.375
SET      15.103       90.000
SET      15.103       90.625
SET      15.167       91.250
SET      15.231       91.875
SET      15.295       92.500
SET      15.295       93.125
SET      15.359       93.750
SET      15.423       94.062
SET      15.423       94.375
SET      15.487       94.688
SET      15.487       95.000
SET      15.551       95.312
SET      15.551       95.625
SET      15.615       95.938
SET      15.679       96.250
SET      15.679       96.562
SET      15.743       96.875
SET      15.807       97.031
SET      15.807       97.188
SET      15.871       97.344
SET      15.935       97.500
SET      15.999       97.656
SET      16.063       97.812
SET      16.255       97.969
SET      16.511       98.125
SET      17.023       98.281
SET      17.535       98.438
SET      17.919       98.516
SET      18.431       98.594
SET      18.815       98.672
SET      19.455       98.750
SET      20.223       98.828
SET      21.631       98.906
SET      24.703       98.984
SET      25.983       99.062
SET      26.367       99.141
SET      26.623       99.219
SET      26.751       99.258
SET      26.879       99.297
SET      27.135       99.336
SET      27.263       99.375
SET      27.391       99.414
SET      27.519       99.453
SET      27.647       99.492
SET      27.775       99.531
SET      27.903       99.570
SET      28.031       99.609
SET      28.031       99.629
SET      28.159       99.648
SET      28.159       99.668
SET      28.287       99.688
SET      28.415       99.707
SET      28.415       99.727
SET      28.543       99.746
SET      28.671       99.766
