20        Threads
5         Connections per thread
150000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        32043.03          ---          ---         3.11169         2.95900         6.07900         7.42300     34435.72 
Gets            0.00         0.00         0.00             ---             ---             ---             ---         0.00 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      32043.03         0.00         0.00         3.11169         2.95900         6.07900         7.42300     34435.72 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.031        0.000
SET       2.671        5.000
SET       2.735       10.000
SET       2.783       15.000
SET       2.815       20.000
SET       2.831       25.000
SET       2.863       30.000
SET       2.895       35.000
SET       2.911       40.000
SET       2.943       45.000
SET       2.959       50.000
SET       2.975       52.500
SET       2.975       55.000
SET       2.991       57.500
SET       3.007       60.000
SET       3.023       62.500
SET       3.039       65.000
SET       3.055       67.500
SET       3.071       70.000
SET       3.103       72.500
SET       3.119       75.000
SET       3.151       76.250
SET       3.167       77.500
SET       3.199       78.750
SET       3.231       80.000
SET       3.263       81.250
SET       3.311       82.500
SET       3.343       83.750
SET       3.407       85.000
SET       3.455       86.250
SET       3.519       87.500
SET       3.535       88.125
SET       3.551       88.750
SET       3.583       89.375
SET       3.599       90.000
SET       3.615       90.625
SET       3.631       91.250
SET       3.663       91.875
SET       3.679       92.500
SET       3.711       93.125
SET       3.743       93.750
SET       3.759       94.062
SET       3.791       94.375
SET       3.839       94.688
SET       3.919       95.000
SET       4.047       95.312
SET       4.223       95.625
SET       4.575       95.938
SET       4.991       96.250
SET       5.279       96.562
SET       5.439       96.875
SET       5.503       97.031
SET       5.535       97.188
SET       5.599       97.344
SET       5.631       97.500
SET       5.695       97.656
SET       5.727       97.812
SET       5.759       97.969
SET       5.823       98.125
SET       5.855       98.281
SET       5.887       98.438
SET       5.919       98.516
SET       5.951       98.594
SET       5.951       98.672
SET       5.983       98.750
SET       6.015       98.828
SET       6.015       98.906
SET       6.047       98.984
SET       6.079       99.062
SET       6.143       99.141
SET       6.175       99.219
SET       6.207       99.258
SET       6.239       99.297
SET       6.303       99.336
SET       6.335       99.375
SET       6.399       99.414
SET       6.463       99.453
SET       6.527       99.492
SET       6.591       99.531
SET       6.687       99.570
SET       6.751       99.609
SET       6.815       99.629
SET       6.879       99.648
SET       6.943       99.668
SET       6.975       99.688
SET       7.039       99.707
SET       7.071       99.727
SET       7.103       99.746
SET       7.135       99.766
SET       7.167       99.785
SET       7.199       99.805
SET       7.231       99.814
SET       7.231       99.824
SET       7.263       99.834
SET       7.263       99.844
SET       7.295       99.854
SET       7.327       99.863
SET       7.327       99.873
SET       7.359       99.883
SET       7.391       99.893
SET       7.423       99.902
SET       7.455       99.907
SET       7.455       99.912
SET       7.487       99.917
SET       7.519       99.922
SET       7.551       99.927
SET       7.615       99.932
SET       7.679       99.937
SET       7.807       99.941
SET       7.967       99.946
SET       8.127       99.951
SET       8.191       99.954
SET       8.255       99.956
SET       8.383       99.958
SET       8.447       99.961
SET       8.511       99.963
SET       8.511       99.966
SET       8.575       99.968
SET       8.639       99.971
SET       8.703       99.973
SET       8.767       99.976
SET       8.831       99.977
SET       8.831       99.978
SET       8.895       99.979
SET       8.895       99.980
SET       8.959       99.982
SET       9.023       99.983
SET       9.023       99.984
SET       9.087       99.985
SET       9.151       99.987
SET       9.151       99.988
SET       9.215       99.988
SET       9.215       99.989
SET       9.215       99.990
SET       9.279       99.990
SET       9.279       99.991
SET       9.343       99.991
SET       9.343       99.992
SET       9.407       99.993
SET       9.407       99.993
SET       9.471       99.994
SET       9.471       99.994
SET       9.471       99.995
SET       9.535       99.995
SET       9.535       99.995
SET       9.599       99.995
SET       9.663       99.996
SET       9.663       99.996
SET       9.727       99.996
SET       9.791       99.997
SET       9.919       99.997
SET       9.983       99.997
SET      10.047       99.997
SET      10.175       99.997
SET      10.431       99.998
SET      10.687       99.998
SET      10.815       99.998
SET      11.263       99.998
SET      11.775       99.998
