100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        30999.33          ---          ---        14.65568        14.52700        25.72700        31.23100     33321.59 
Gets         3099.66      3077.97        21.69        14.65140        14.52700        23.80700        31.23100      3294.95 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      34098.99      3077.97        21.69        14.65529        14.52700        25.59900        31.23100     36616.54 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.071        0.000
SET      13.119        5.000
SET      13.311       10.000
SET      13.375       15.000
SET      13.503       20.000
SET      13.631       25.000
SET      13.823       30.000
SET      14.015       35.000
SET      14.207       40.000
SET      14.399       45.000
SET      14.527       50.000
SET      14.591       52.500
SET      14.719       55.000
SET      14.783       57.500
SET      14.847       60.000
SET      14.911       62.500
SET      14.975       65.000
SET      15.103       67.500
SET      15.167       70.000
SET      15.231       72.500
SET      15.295       75.000
SET      15.295       76.250
SET      15.359       77.500
SET      15.423       78.750
SET      15.423       80.000
SET      15.487       81.250
SET      15.551       82.500
SET      15.551       83.750
SET      15.615       85.000
SET      15.679       86.250
SET      15.743       87.500
SET      15.743       88.125
SET      15.743       88.750
SET      15.807       89.375
SET      15.807       90.000
SET      15.871       90.625
SET      15.871       91.250
SET      15.935       91.875
SET      15.999       92.500
SET      15.999       93.125
SET      16.063       93.750
SET      16.127       94.062
SET      16.127       94.375
SET      16.127       94.688
SET      16.191       95.000
SET      16.191       95.312
SET      16.255       95.625
SET      16.319       95.938
SET      16.319       96.250
SET      16.383       96.562
SET      16.511       96.875
SET      16.511       97.031
SET      16.639       97.188
SET      16.639       97.344
SET      16.639       97.500
SET      16.767       97.656
SET      16.895       97.812
SET      17.151       97.969
SET      17.535       98.125
SET      18.047       98.281
SET      18.687       98.438
SET      19.071       98.516
SET      19.455       98.594
SET      19.967       98.672
SET      20.479       98.750
SET      21.247       98.828
SET      22.399       98.906
SET      24.959       98.984
SET      26.495       99.062
SET      26.879       99.141
SET      27.135       99.219
SET      27.391       99.258
SET      27.647       99.297
SET      28.031       99.336
SET      28.415       99.375
SET      28.671       99.414
SET      28.927       99.453
SET      29.055       99.492
SET      29.311       99.531
SET      29.439       99.570
SET      29.567       99.609
SET      29.695       99.629
SET      29.695       99.648
SET      29.823       99.668
SET      29.823       99.688
SET      29.951       99.707
SET      30.079       99.727
SET      30.207       99.746
SET      30.207       99.766
SET      30.335       99.785
SET      30.463       99.805
SET      30.591       99.814
SET      30.591       99.824
SET      30.719       99.834
SET      30.847       99.844
SET      30.847       99.854
SET      30.975       99.863
SET      31.103       99.873
SET      31.103       99.883
SET      31.231       99.893
SET      31.359       99.902
SET      31.359       99.907
SET      31.359       99.912
SET      31.487       99.917
SET      31.487       99.922
SET      31.487       99.927
SET      31.615       99.932
SET      31.615       99.937
SET      31.743       99.941
SET      31.743       99.946
SET      31.743       99.951
SET      31.871       99.954
SET      31.871       99.956
SET      31.871       99.958
SET      31.871       99.961
SET      31.999       99.963
SET      31.999       99.966
SET      31.999       99.968
SET      32.127       99.971
SET      32.127       99.973
SET      32.255       99.976
SET      32.255       99.977
SET      32.255       99.978
SET      32.255       99.979
SET      32.383       99.980
SET      32.383       99.982
SET      32.511       99.983
SET      32.511       99.984
SET      32.639       99.985
SET      32.767       99.987
SET      33.023       99.988
SET      33.023       99.988
SET      33.023       99.989
SET      33.279       99.990
SET      33.279       99.990
SET      33.535       99.991
SET      33.535       99.991
SET      33.791       99.992
SET      34.047       99.993
SET      34.047       99.993
SET      34.303       99.994
SET      34.559       99.994
SET      34.559       99.995
SET      34.815       99.995
SET      34.815       99.995
SET      34.815       99.995
SET      35.071       99.996
SET      35.071       99.996
SET      35.327       99.996
SET      35.583       99.997
SET      35.583       99.997
SET      35.839       99.997
SET      35.839       99.997
SET      36.095       99.997
SET      36.095       99.998
SET      36.351       99.998
SET      36.351       99.998
SET      36.607       99.998
SET      36.607       99.998
SET      36.863       99.998
SET      36.863       99.998
SET      37.119       99.999
SET      37.119       99.999
SET      37.119       99.999
SET      37.375       99.999
SET      37.631       99.999
SET      37.631       99.999
SET      37.887       99.999
SET      38.143       99.999
SET      38.143       99.999
SET      38.399       99.999
SET      38.399       99.999
SET      38.655       99.999
SET      38.655       99.999
SET      38.911       99.999
SET      38.911       99.999
SET      38.911       99.999
SET      39.167      100.000
SET      39.423      100.000
SET      39.679      100.000
SET      39.935      100.000
SET      39.935      100.000
SET      39.935      100.000
SET      40.191      100.000
SET      40.191      100.000
SET      40.447      100.000
SET      40.447      100.000
SET      40.703      100.000
SET      40.959      100.000
SET      40.959      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.471      100.000
SET      41.471      100.000
SET      41.983      100.000
SET      42.239      100.000
SET      42.495      100.000
SET      42.751      100.000
SET      42.751      100.000
SET      42.751      100.000
SET      42.751      100.000
SET      43.007      100.000
SET      43.007      100.000
SET      43.007      100.000
SET      43.263      100.000
SET      43.519      100.000
SET      43.519      100.000
SET      43.775      100.000
SET      44.287      100.000
SET      44.543      100.000
SET      44.543      100.000
SET      44.543      100.000
SET      44.799      100.000
SET      44.799      100.000
SET      44.799      100.000
SET      44.799      100.000
SET      44.799      100.000
SET      45.055      100.000
SET      45.311      100.000
SET      45.311      100.000
SET      45.311      100.000
SET      45.311      100.000
SET      46.079      100.000
SET      46.079      100.000
SET      46.079      100.000
SET      46.079      100.000
SET      46.079      100.000
SET      46.079      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      46.847      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      52.991      100.000
SET      55.295      100.000
SET      55.295      100.000
---
GET       0.087        0.000
GET      13.119        5.000
GET      13.311       10.000
GET      13.375       15.000
GET      13.503       20.000
GET      13.631       25.000
GET      13.823       30.000
GET      14.015       35.000
GET      14.207       40.000
GET      14.399       45.000
