100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         6942.16          ---          ---        14.40736        14.14300        23.80700        31.99900      7460.58 
Gets        27766.44     22325.53      5440.91        14.39498        14.14300        22.39900        31.87100     24242.24 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      34708.60     22325.53      5440.91        14.39745        14.14300        22.65500        31.87100     31702.82 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.071        0.000
SET      12.479        5.000
SET      12.735       10.000
SET      12.927       15.000
SET      13.055       20.000
SET      13.247       25.000
SET      13.439       30.000
SET      13.631       35.000
SET      13.823       40.000
SET      14.015       45.000
SET      14.143       50.000
SET      14.271       52.500
SET      14.335       55.000
SET      14.399       57.500
SET      14.463       60.000
SET      14.591       62.500
SET      14.655       65.000
SET      14.719       67.500
SET      14.847       70.000
SET      14.975       72.500
SET      15.039       75.000
SET      15.103       76.250
SET      15.167       77.500
SET      15.231       78.750
SET      15.359       80.000
SET      15.423       81.250
SET      15.487       82.500
SET      15.615       83.750
SET      15.679       85.000
SET      15.807       86.250
SET      15.935       87.500
SET      15.999       88.125
SET      16.063       88.750
SET      16.127       89.375
SET      16.191       90.000
SET      16.319       90.625
SET      16.383       91.250
SET      16.511       91.875
SET      16.639       92.500
SET      16.639       93.125
SET      16.767       93.750
SET      16.767       94.062
SET      16.895       94.375
SET      16.895       94.688
SET      17.023       95.000
SET      17.023       95.312
SET      17.151       95.625
SET      17.279       95.938
SET      17.407       96.250
SET      17.663       96.562
SET      17.791       96.875
SET      17.919       97.031
SET      18.047       97.188
SET      18.175       97.344
SET      18.175       97.500
SET      18.303       97.656
SET      18.431       97.812
SET      18.559       97.969
SET      18.687       98.125
SET      18.815       98.281
SET      18.943       98.438
SET      19.071       98.516
SET      19.199       98.594
SET      19.455       98.672
SET      19.839       98.750
SET      20.607       98.828
SET      21.759       98.906
SET      23.423       98.984
SET      24.959       99.062
SET      25.727       99.141
SET      26.111       99.219
SET      26.367       99.258
SET      26.751       99.297
SET      27.263       99.336
SET      27.647       99.375
SET      27.775       99.414
SET      28.031       99.453
SET      28.159       99.492
SET      28.287       99.531
SET      28.415       99.570
SET      28.671       99.609
SET      28.671       99.629
SET      28.799       99.648
SET      28.927       99.668
SET      29.055       99.688
SET      29.183       99.707
SET      29.311       99.727
SET      29.567       99.746
SET      29.823       99.766
SET      29.951       99.785
SET      30.207       99.805
SET      30.335       99.814
SET      30.591       99.824
SET      30.719       99.834
SET      30.975       99.844
SET      31.103       99.854
SET      31.359       99.863
SET      31.487       99.873
SET      31.743       99.883
SET      31.871       99.893
SET      31.999       99.902
SET      32.127       99.907
SET      32.255       99.912
SET      32.383       99.917
SET      32.511       99.922
SET      32.639       99.927
SET      32.767       99.932
SET      33.023       99.937
SET      33.279       99.941
SET      33.279       99.946
SET      33.535       99.951
SET      33.535       99.954
SET      33.535       99.956
SET      33.791       99.958
SET      33.791       99.961
SET      33.791       99.963
SET      34.047       99.966
SET      34.047       99.968
SET      34.047       99.971
SET      34.303       99.973
SET      34.303       99.976
SET      34.559       99.977
SET      34.559       99.978
SET      34.559       99.979
SET      34.815       99.980
SET      34.815       99.982
SET      34.815       99.983
SET      35.071       99.984
SET      35.071       99.985
SET      35.327       99.987
SET      35.327       99.988
SET      35.327       99.988
SET      35.327       99.989
SET      35.583       99.990
SET      35.583       99.990
SET      35.583       99.991
SET      35.839       99.991
SET      35.839       99.992
SET      35.839       99.993
SET      36.095       99.993
SET      36.095       99.994
SET      36.351       99.994
SET      36.607       99.995
SET      36.607       99.995
SET      36.863       99.995
SET      37.119       99.995
SET      37.375       99.996
SET      37.631       99.996
SET      38.143       99.996
SET      38.399       99.997
SET      38.655       99.997
SET      38.911       99.997
SET      39.167       99.997
SET      39.423       99.997
SET      39.935       99.998
SET      40.191       99.998
SET      40.447       99.998
SET      41.215       99.998
SET      41.727       99.998
SET      41.727       99.998
SET      41.983       99.998
SET      41.983       99.999
SET      41.983       99.999
SET      41.983       99.999
SET      41.983       99.999
SET      41.983       99.999
SET      41.983       99.999
SET      41.983       99.999
SET      41.983       99.999
SET      41.983       99.999
SET      41.983       99.999
SET      42.239       99.999
SET      42.239       99.999
SET      42.239       99.999
SET      42.239       99.999
SET      42.239       99.999
SET      42.239       99.999
SET      42.239      100.000
SET      42.239      100.000
SET      42.239      100.000
SET      42.239      100.000
SET      42.239      100.000
SET      42.239      100.000
SET      42.239      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.751      100.000
SET      42.751      100.000
SET      43.007      100.000
SET      43.007      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.519      100.000
SET      43.519      100.000
SET      43.519      100.000
SET      44.287      100.000
SET      44.287      100.000
SET      44.287      100.000
SET      44.287      100.000
SET      44.543      100.000
SET      44.543      100.000
SET      44.543      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      56.319      100.000
SET      56.319      100.000
SET      56.319      100.000
SET      56.319      100.000
SET      56.319      100.000
SET      56.319      100.000
SET      56.319      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.575      100.000
SET      56.831      100.000
SET      56.831      100.000
---
GET       0.063        0.000
GET      12.479        5.000
GET      12.735       10.000
GET      12.927       15.000
GET      13.055       20.000
GET      13.247       25.000
GET      13.439       30.000
GET      13.631       35.000
GET      13.823       40.000
GET      14.015       45.000
GET      14.143       50.000
GET      14.271       52.500
GET      14.335       55.000
GET      14.399       57.500
GET      14.463       60.000
GET      14.591       62.500
GET      14.655       65.000
GET      14.719       67.500
GET      14.847       70.000
GET      14.911       72.500
GET      15.039       75.000
GET      15.103       76.250
GET      15.167       77.500
GET      15.231       78.750
GET      15.359       80.000
GET      15.423       81.250
GET      15.487       82.500
GET      15.615       83.750
GET      15.679       85.000
GET      15.807       86.250
GET      15.935       87.500
