100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        35472.82          ---          ---        12.80745        12.79900        18.94300        27.77500     38030.26 
Gets         3547.01      3547.01         0.00        12.80651        12.79900        18.43100        27.77500      3781.95 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      39019.82      3547.01         0.00        12.80736        12.79900        18.81500        27.77500     41812.21 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.047        0.000
SET      11.263        5.000
SET      11.327       10.000
SET      11.455       15.000
SET      11.583       20.000
SET      11.711       25.000
SET      11.839       30.000
SET      12.223       35.000
SET      12.479       40.000
SET      12.671       45.000
SET      12.799       50.000
SET      12.927       52.500
SET      12.991       55.000
SET      13.055       57.500
SET      13.119       60.000
SET      13.183       62.500
SET      13.247       65.000
SET      13.311       67.500
SET      13.375       70.000
SET      13.439       72.500
SET      13.503       75.000
SET      13.567       76.250
SET      13.567       77.500
SET      13.631       78.750
SET      13.695       80.000
SET      13.695       81.250
SET      13.759       82.500
SET      13.823       83.750
SET      13.823       85.000
SET      13.887       86.250
SET      13.951       87.500
SET      13.951       88.125
SET      14.015       88.750
SET      14.015       89.375
SET      14.079       90.000
SET      14.079       90.625
SET      14.143       91.250
SET      14.143       91.875
SET      14.207       92.500
SET      14.271       93.125
SET      14.271       93.750
SET      14.335       94.062
SET      14.335       94.375
SET      14.399       94.688
SET      14.399       95.000
SET      14.463       95.312
SET      14.463       95.625
SET      14.527       95.938
SET      14.527       96.250
SET      14.591       96.562
SET      14.655       96.875
SET      14.655       97.031
SET      14.719       97.188
SET      14.719       97.344
SET      14.783       97.500
SET      14.847       97.656
SET      14.847       97.812
SET      14.975       97.969
SET      15.039       98.125
SET      15.231       98.281
SET      15.615       98.438
SET      15.871       98.516
SET      16.127       98.594
SET      16.511       98.672
SET      16.767       98.750
SET      17.279       98.828
SET      17.791       98.906
SET      18.687       98.984
SET      20.351       99.062
SET      22.527       99.141
SET      22.911       99.219
SET      23.039       99.258
SET      23.295       99.297
SET      23.551       99.336
SET      24.063       99.375
SET      24.831       99.414
SET      25.215       99.453
SET      25.471       99.492
SET      25.727       99.531
SET      25.855       99.570
SET      26.111       99.609
SET      26.111       99.629
SET      26.239       99.648
SET      26.367       99.668
SET      26.367       99.688
SET      26.495       99.707
SET      26.623       99.727
SET      26.623       99.746
SET      26.751       99.766
SET      26.879       99.785
SET      27.007       99.805
SET      27.135       99.814
SET      27.263       99.824
SET      27.263       99.834
SET      27.391       99.844
SET      27.391       99.854
SET      27.519       99.863
SET      27.647       99.873
SET      27.647       99.883
SET      27.775       99.893
SET      27.775       99.902
SET      27.903       99.907
SET      27.903       99.912
SET      27.903       99.917
SET      28.031       99.922
SET      28.031       99.927
SET      28.031       99.932
SET      28.159       99.937
SET      28.159       99.941
SET      28.159       99.946
SET      28.287       99.951
SET      28.287       99.954
SET      28.287       99.956
SET      28.287       99.958
SET      28.415       99.961
SET      28.415       99.963
SET      28.415       99.966
SET      28.543       99.968
SET      28.543       99.971
SET      28.543       99.973
SET      28.671       99.976
SET      28.671       99.977
SET      28.671       99.978
SET      28.671       99.979
SET      28.799       99.980
SET      28.799       99.982
SET      28.799       99.983
SET      28.927       99.984
SET      28.927       99.985
SET      29.055       99.987
SET      29.055       99.988
SET      29.183       99.988
SET      29.183       99.989
SET      29.311       99.990
SET      29.311       99.990
SET      29.439       99.991
SET      29.567       99.991
SET      29.695       99.992
SET      29.823       99.993
SET      29.951       99.993
SET      30.207       99.994
SET      30.207       99.994
SET      30.335       99.995
SET      30.463       99.995
SET      30.591       99.995
SET      30.719       99.995
SET      30.975       99.996
SET      31.103       99.996
SET      31.231       99.996
SET      31.359       99.997
SET      31.487       99.997
SET      31.615       99.997
SET      31.743       99.997
SET      31.871       99.997
SET      31.871       99.998
SET      31.999       99.998
SET      32.127       99.998
SET      32.255       99.998
SET      32.511       99.998
SET      32.639       99.998
SET      32.767       99.998
SET      32.767       99.999
SET      33.023       99.999
SET      33.023       99.999
SET      33.023       99.999
SET      33.279       99.999
SET      33.279       99.999
SET      33.535       99.999
SET      33.535       99.999
SET      33.791       99.999
SET      34.047       99.999
SET      34.047       99.999
SET      34.303       99.999
SET      34.303       99.999
SET      34.559       99.999
SET      34.559       99.999
SET      34.815       99.999
SET      34.815      100.000
SET      34.815      100.000
SET      35.071      100.000
SET      35.327      100.000
SET      35.327      100.000
SET      35.327      100.000
SET      35.327      100.000
SET      35.583      100.000
SET      35.583      100.000
SET      35.583      100.000
SET      35.839      100.000
SET      36.095      100.000
SET      36.351      100.000
SET      37.119      100.000
SET      37.375      100.000
SET      37.375      100.000
SET      37.631      100.000
SET      38.143      100.000
SET      38.399      100.000
SET      38.655      100.000
SET      38.655      100.000
SET      38.655      100.000
SET      38.911      100.000
SET      38.911      100.000
SET      38.911      100.000
SET      38.911      100.000
SET      38.911      100.000
SET      39.167      100.000
SET      39.167      100.000
SET      39.167      100.000
SET      39.167      100.000
SET      39.167      100.000
SET      39.167      100.000
SET      39.423      100.000
SET      39.423      100.000
SET      39.423      100.000
SET      39.935      100.000
SET      39.935      100.000
