100       Threads
5         Connections per thread
300       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         7350.94          ---          ---        13.60882        13.31100        24.44700        29.05500      7901.63 
Gets        29397.20     25121.22      4275.98        13.59633        13.31100        21.63100        29.05500     27163.22 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      36748.15     25121.22      4275.98        13.59883        13.31100        21.88700        29.05500     35064.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.135        0.000
SET      12.479        5.000
SET      12.607       10.000
SET      12.735       15.000
SET      12.799       20.000
SET      12.863       25.000
SET      12.991       30.000
SET      13.055       35.000
SET      13.119       40.000
SET      13.247       45.000
SET      13.311       50.000
SET      13.375       52.500
SET      13.439       55.000
SET      13.503       57.500
SET      13.567       60.000
SET      13.631       62.500
SET      13.695       65.000
SET      13.759       67.500
SET      13.887       70.000
SET      13.951       72.500
SET      14.015       75.000
SET      14.079       76.250
SET      14.143       77.500
SET      14.143       78.750
SET      14.207       80.000
SET      14.271       81.250
SET      14.335       82.500
SET      14.399       83.750
SET      14.399       85.000
SET      14.463       86.250
SET      14.527       87.500
SET      14.591       88.125
SET      14.591       88.750
SET      14.655       89.375
SET      14.655       90.000
SET      14.719       90.625
SET      14.783       91.250
SET      14.783       91.875
SET      14.847       92.500
SET      14.911       93.125
SET      14.975       93.750
SET      14.975       94.062
SET      15.039       94.375
SET      15.039       94.688
SET      15.103       95.000
SET      15.167       95.312
SET      15.167       95.625
SET      15.231       95.938
SET      15.295       96.250
SET      15.295       96.562
SET      15.359       96.875
SET      15.423       97.031
SET      15.487       97.188
SET      15.487       97.344
SET      15.551       97.500
SET      15.615       97.656
SET      15.679       97.812
SET      15.807       97.969
SET      15.935       98.125
SET      16.319       98.281
SET      16.895       98.438
SET      17.151       98.516
SET      17.535       98.594
SET      18.047       98.672
SET      18.559       98.750
SET      19.199       98.828
SET      20.351       98.906
SET      23.039       98.984
SET      25.215       99.062
SET      25.599       99.141
SET      25.727       99.219
SET      25.855       99.258
SET      25.983       99.297
SET      26.111       99.336
SET      26.111       99.375
SET      26.239       99.414
SET      26.367       99.453
SET      26.495       99.492
SET      26.751       99.531
SET      27.007       99.570
SET      27.135       99.609
SET      27.263       99.629
SET      27.391       99.648
SET      27.519       99.668
SET      27.519       99.688
SET      27.647       99.707
SET      27.647       99.727
SET      27.775       99.746
SET      27.903       99.766
SET      28.031       99.785
SET      28.031       99.805
SET      28.159       99.814
SET      28.159       99.824
SET      28.287       99.834
SET      28.287       99.844
SET      28.415       99.854
SET      28.543       99.863
SET      28.671       99.873
SET      28.799       99.883
SET      28.927       99.893
SET      29.055       99.902
SET      29.183       99.907
SET      29.183       99.912
SET      29.311       99.917
SET      29.311       99.922
SET      29.439       99.927
SET      29.439       99.932
SET      29.439       99.937
SET      29.567       99.941
SET      29.567       99.946
SET      29.695       99.951
SET      29.695       99.954
SET      29.695       99.956
SET      29.695       99.958
SET      29.823       99.961
SET      29.823       99.963
SET      29.823       99.966
SET      29.823       99.968
SET      29.951       99.971
SET      29.951       99.973
SET      29.951       99.976
SET      30.079       99.977
SET      30.079       99.978
SET      30.079       99.979
SET      30.079       99.980
SET      30.207       99.982
SET      30.207       99.983
SET      30.207       99.984
SET      30.335       99.985
SET      30.335       99.987
SET      30.463       99.988
SET      30.463       99.988
SET      30.463       99.989
SET      30.463       99.990
SET      30.591       99.990
SET      30.591       99.991
SET      30.591       99.991
SET      30.719       99.992
SET      30.719       99.993
SET      30.847       99.993
SET      30.975       99.994
SET      30.975       99.994
SET      31.103       99.995
SET      31.103       99.995
SET      31.231       99.995
SET      31.231       99.995
SET      31.359       99.996
SET      31.359       99.996
SET      31.615       99.996
SET      31.743       99.997
SET      32.127       99.997
SET      32.255       99.997
SET      32.255       99.997
SET      32.383       99.997
SET      32.383       99.998
SET      32.383       99.998
SET      32.511       99.998
SET      32.639       99.998
SET      32.639       99.998
SET      32.767       99.998
SET      32.767       99.998
SET      32.767       99.999
SET      33.023       99.999
SET      33.023       99.999
SET      33.023       99.999
SET      33.023       99.999
SET      33.279       99.999
SET      33.279       99.999
SET      33.279       99.999
SET      33.279       99.999
SET      33.279       99.999
SET      33.279       99.999
SET      33.279       99.999
SET      33.279       99.999
SET      33.791       99.999
SET      33.791       99.999
SET      34.047       99.999
SET      34.047      100.000
SET      34.047      100.000
SET      34.303      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      35.839      100.000
SET      36.863      100.000
SET      36.863      100.000
---
GET       0.143        0.000
GET      12.479        5.000
GET      12.607       10.000
GET      12.735       15.000
GET      12.799       20.000
GET      12.863       25.000
GET      12.927       30.000
GET      13.055       35.000
GET      13.119       40.000
GET      13.247       45.000
GET      13.311       50.000
GET      13.375       52.500
GET      13.439       55.000
GET      13.503       57.500
GET      13.567       60.000
GET      13.631       62.500
GET      13.695       65.000
GET      13.759       67.500
GET      13.887       70.000
GET      13.951       72.500
GET      14.015       75.000
GET      14.079       76.250
GET      14.143       77.500
GET      14.143       78.750
GET      14.207       80.000
GET      14.271       81.250
GET      14.335       82.500
GET      14.335       83.750
GET      14.399       85.000
GET      14.463       86.250
GET      14.527       87.500
GET      14.591       88.125
GET      14.591       88.750
GET      14.655       89.375
GET      14.655       90.000
GET      14.719       90.625
GET      14.783       91.250
GET      14.783       91.875
GET      14.847       92.500
GET      14.911       93.125
GET      14.975       93.750
GET      14.975       94.062
GET      15.039       94.375
GET      15.039       94.688
GET      15.103       95.000
GET      15.167       95.312
GET      15.167       95.625
GET      15.231       95.938
GET      15.295       96.250
GET      15.295       96.562
GET      15.359       96.875
GET      15.423       97.031
GET      15.423       97.188
GET      15.487       97.344
GET      15.551       97.500
GET      15.615       97.656
GET      15.679       97.812
GET      15.743       97.969
GET      15.871       98.125
GET      16.127       98.281
GET      16.639       98.438
GET      17.023       98.516
GET      17.279       98.594
GET      17.663       98.672
GET      18.175       98.750
GET      18.815       98.828
GET      19.583       98.906
GET      21.119       98.984
GET      24.959       99.062
GET      25.471       99.141
GET      25.599       99.219
GET      25.727       99.258
GET      25.855       99.297
GET      25.983       99.336
GET      26.111       99.375
GET      26.239       99.414
GET      26.367       99.453
GET      26.495       99.492
GET      26.623       99.531
GET      26.879       99.570
GET      27.007       99.609
GET      27.135       99.629
GET      27.263       99.648
GET      27.391       99.668
GET      27.519       99.688
GET      27.519       99.707
GET      27.647       99.727
GET      27.775       99.746
GET      27.775       99.766
GET      27.903       99.785
GET      28.031       99.805
GET      28.031       99.814
GET      28.159       99.824
GET      28.159       99.834
GET      28.287       99.844
GET      28.415       99.854
GET      28.415       99.863
GET      28.543       99.873
GET      28.799       99.883
GET      28.927       99.893
GET      29.055       99.902
GET      29.183       99.907
GET      29.183       99.912
GET      29.311       99.917
GET      29.311       99.922
GET      29.311       99.927
GET      29.439       99.932
GET      29.439       99.937
GET      29.567       99.941
GET      29.567       99.946
GET      29.567       99.951
GET      29.695       99.954
GET      29.695       99.956
GET      29.695       99.958
GET      29.695       99.961
GET      29.823       99.963
GET      29.823       99.966
GET      29.823       99.968
GET      29.823       99.971
GET      29.951       99.973
GET      29.951       99.976
GET      29.951       99.977
GET      30.079       99.978
GET      30.079       99.979
GET      30.079       99.980
GET      30.079       99.982
GET      30.207       99.983
GET      30.207       99.984
GET      30.207       99.985
GET      30.335       99.987
GET      30.335       99.988
GET      30.335       99.988
GET      30.463       99.989
GET      30.463       99.990
GET      30.463       99.990
GET      30.591       99.991
GET      30.591       99.991
GET      30.591       99.992
GET      30.719       99.993
GET      30.719       99.993
GET      30.847       99.994
GET      30.975       99.994
GET      30.975       99.995
GET      31.103       99.995
GET      31.103       99.995
GET      31.231       99.995
GET      31.359       99.996
GET      31.359       99.996
GET      31.487       99.996
GET      31.615       99.997
GET      31.743       99.997
GET      31.871       99.997
GET      31.999       99.997
GET      32.127       99.997
GET      32.255       99.998
GET      32.255       99.998
GET      32.383       99.998
GET      32.511       99.998
GET      32.639       99.998
GET      32.767       99.998
GET      33.023       99.998
GET      33.023       99.999
GET      33.023       99.999
GET      33.023       99.999
GET      33.279       99.999
GET      33.279       99.999
GET      33.279       99.999
GET      33.535       99.999
GET      33.535       99.999
