100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         7151.10          ---          ---        13.98594        13.88700        24.70300        30.07900      7685.13 
Gets        28602.26     23875.61      4726.65        13.97450        13.88700        23.03900        29.95100     25853.44 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      35753.36     23875.61      4726.65        13.97679        13.88700        23.42300        29.95100     33538.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.143        0.000
SET      12.415        5.000
SET      12.607       10.000
SET      12.735       15.000
SET      12.927       20.000
SET      13.055       25.000
SET      13.247       30.000
SET      13.439       35.000
SET      13.631       40.000
SET      13.759       45.000
SET      13.887       50.000
SET      13.951       52.500
SET      14.015       55.000
SET      14.079       57.500
SET      14.143       60.000
SET      14.207       62.500
SET      14.271       65.000
SET      14.335       67.500
SET      14.399       70.000
SET      14.463       72.500
SET      14.527       75.000
SET      14.591       76.250
SET      14.655       77.500
SET      14.655       78.750
SET      14.719       80.000
SET      14.783       81.250
SET      14.783       82.500
SET      14.847       83.750
SET      14.911       85.000
SET      14.975       86.250
SET      15.039       87.500
SET      15.103       88.125
SET      15.103       88.750
SET      15.167       89.375
SET      15.167       90.000
SET      15.231       90.625
SET      15.295       91.250
SET      15.295       91.875
SET      15.359       92.500
SET      15.423       93.125
SET      15.423       93.750
SET      15.487       94.062
SET      15.487       94.375
SET      15.551       94.688
SET      15.551       95.000
SET      15.615       95.312
SET      15.615       95.625
SET      15.679       95.938
SET      15.679       96.250
SET      15.743       96.562
SET      15.807       96.875
SET      15.807       97.031
SET      15.871       97.188
SET      15.935       97.344
SET      15.935       97.500
SET      15.999       97.656
SET      16.127       97.812
SET      16.255       97.969
SET      16.511       98.125
SET      17.023       98.281
SET      17.663       98.438
SET      18.047       98.516
SET      18.431       98.594
SET      18.943       98.672
SET      19.455       98.750
SET      20.351       98.828
SET      21.759       98.906
SET      24.447       98.984
SET      25.215       99.062
SET      25.599       99.141
SET      25.983       99.219
SET      26.495       99.258
SET      26.879       99.297
SET      27.135       99.336
SET      27.263       99.375
SET      27.391       99.414
SET      27.519       99.453
SET      27.647       99.492
SET      27.775       99.531
SET      27.903       99.570
SET      28.031       99.609
SET      28.159       99.629
SET      28.159       99.648
SET      28.287       99.668
SET      28.287       99.688
SET      28.415       99.707
SET      28.543       99.727
SET      28.671       99.746
SET      28.799       99.766
SET      28.927       99.785
SET      29.183       99.805
SET      29.311       99.814
SET      29.439       99.824
SET      29.439       99.834
SET      29.567       99.844
SET      29.695       99.854
SET      29.695       99.863
SET      29.823       99.873
SET      29.951       99.883
SET      29.951       99.893
SET      30.079       99.902
SET      30.079       99.907
SET      30.079       99.912
SET      30.207       99.917
SET      30.207       99.922
SET      30.207       99.927
SET      30.335       99.932
SET      30.335       99.937
SET      30.335       99.941
SET      30.463       99.946
SET      30.463       99.951
SET      30.463       99.954
SET      30.463       99.956
SET      30.591       99.958
SET      30.591       99.961
SET      30.591       99.963
SET      30.591       99.966
SET      30.719       99.968
SET      30.719       99.971
SET      30.719       99.973
SET      30.847       99.976
SET      30.847       99.977
SET      30.847       99.978
SET      30.847       99.979
SET      30.975       99.980
SET      30.975       99.982
SET      30.975       99.983
SET      31.103       99.984
SET      31.103       99.985
SET      31.231       99.987
SET      31.231       99.988
SET      31.231       99.988
SET      31.359       99.989
SET      31.359       99.990
SET      31.487       99.990
SET      31.487       99.991
SET      31.615       99.991
SET      31.743       99.992
SET      31.871       99.993
SET      31.999       99.993
SET      32.127       99.994
SET      32.255       99.994
SET      32.383       99.995
SET      32.511       99.995
SET      32.639       99.995
SET      32.767       99.995
SET      33.023       99.996
SET      33.023       99.996
SET      33.279       99.996
SET      33.279       99.997
SET      33.535       99.997
SET      33.791       99.997
SET      33.791       99.997
SET      33.791       99.997
SET      34.047       99.998
SET      34.047       99.998
SET      34.047       99.998
SET      34.303       99.998
SET      34.303       99.998
SET      34.559       99.998
SET      34.559       99.998
SET      34.815       99.999
SET      34.815       99.999
SET      35.071       99.999
SET      35.071       99.999
SET      35.071       99.999
SET      35.327       99.999
SET      35.327       99.999
SET      35.583       99.999
SET      35.839       99.999
SET      36.095       99.999
SET      36.095       99.999
SET      36.351       99.999
SET      36.351       99.999
SET      36.351       99.999
SET      36.863       99.999
SET      36.863       99.999
SET      37.119      100.000
SET      37.375      100.000
SET      37.375      100.000
SET      37.631      100.000
SET      37.631      100.000
SET      37.631      100.000
SET      37.887      100.000
SET      38.655      100.000
SET      38.655      100.000
SET      38.655      100.000
SET      38.655      100.000
SET      38.911      100.000
SET      38.911      100.000
SET      38.911      100.000
SET      39.167      100.000
SET      39.167      100.000
SET      39.423      100.000
SET      39.679      100.000
SET      39.679      100.000
SET      39.679      100.000
SET      39.935      100.000
SET      39.935      100.000
SET      40.959      100.000
SET      40.959      100.000
SET      40.959      100.000
SET      40.959      100.000
SET      40.959      100.000
SET      41.983      100.000
SET      41.983      100.000
SET      41.983      100.000
SET      42.239      100.000
SET      42.239      100.000
SET      42.239      100.000
SET      42.239      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      42.495      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      43.263      100.000
SET      53.247      100.000
SET      53.247      100.000
---
GET       0.207        0.000
GET      12.415        5.000
GET      12.607       10.000
GET      12.735       15.000
GET      12.927       20.000
GET      13.055       25.000
GET      13.247       30.000
GET      13.439       35.000
GET      13.567       40.000
GET      13.759       45.000
GET      13.887       50.000
GET      13.951       52.500
GET      14.015       55.000
GET      14.079       57.500
GET      14.143       60.000
GET      14.207       62.500
GET      14.271       65.000
GET      14.335       67.500
GET      14.399       70.000
GET      14.463       72.500
GET      14.527       75.000
GET      14.591       76.250
GET      14.591       77.500
GET      14.655       78.750
GET      14.719       80.000
GET      14.783       81.250
GET      14.783       82.500
GET      14.847       83.750
GET      14.911       85.000
GET      14.975       86.250
GET      15.039       87.500
GET      15.103       88.125
GET      15.103       88.750
GET      15.167       89.375
GET      15.167       90.000
GET      15.231       90.625
GET      15.231       91.250
GET      15.295       91.875
GET      15.359       92.500
GET      15.423       93.125
GET      15.423       93.750
GET      15.487       94.062
GET      15.487       94.375
GET      15.551       94.688
GET      15.551       95.000
GET      15.615       95.312
GET      15.615       95.625
GET      15.679       95.938
GET      15.679       96.250
GET      15.743       96.562
GET      15.807       96.875
GET      15.807       97.031
GET      15.871       97.188
