20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       298615.44    298615.44         0.00       636.16462       643.07100      1048.57500      1048.57500     19484.30 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     298615.44    298615.44         0.00       636.16462       643.07100      1048.57500      1048.57500     19484.30 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     150.527        0.000
GET     240.639        5.000
GET     296.959       10.000
GET     354.303       15.000
GET     401.407       20.000
GET     446.463       25.000
GET     483.327       30.000
GET     514.047       35.000
GET     569.343       40.000
GET     614.399       45.000
GET     643.071       50.000
GET     655.359       52.500
GET     675.839       55.000
GET     708.607       57.500
GET     724.991       60.000
GET     753.663       62.500
GET     765.951       65.000
GET     782.335       67.500
GET     790.527       70.000
GET     811.007       72.500
GET     843.775       75.000
GET     856.063       76.250
GET     864.255       77.500
GET     872.447       78.750
GET     888.831       80.000
GET     901.119       81.250
GET     905.215       82.500
GET     913.407       83.750
GET     921.599       85.000
GET     929.791       86.250
GET     933.887       87.500
GET     937.983       88.125
GET     946.175       88.750
GET     950.271       89.375
GET     958.463       90.000
GET     966.655       90.625
GET     974.847       91.250
GET     978.943       91.875
GET     987.135       92.500
GET     995.327       93.125
GET    1003.519       93.750
GET    1003.519       94.062
GET    1007.615       94.375
GET    1007.615       94.688
GET    1007.615       95.000
GET    1011.711       95.312
GET    1015.807       95.625
GET    1019.903       95.938
GET    1019.903       96.250
GET    1023.999       96.562
GET    1028.095       96.875
GET    1028.095       97.031
GET    1032.191       97.188
GET    1036.287       97.344
GET    1036.287       97.500
GET    1036.287       97.656
GET    1036.287       97.812
GET    1036.287       97.969
GET    1040.383       98.125
GET    1040.383       98.281
GET    1044.479       98.438
GET    1044.479       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1048.575       98.750
GET    1048.575      100.000
---
WAIT      0.000      100.000
