20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       298705.90    298705.90         0.00       648.05675       647.16700      1048.57500      1048.57500     19490.22 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     298705.90    298705.90         0.00       648.05675       647.16700      1048.57500      1048.57500     19490.22 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     151.551        0.000
GET     282.623        5.000
GET     319.487       10.000
GET     362.495       15.000
GET     405.503       20.000
GET     454.655       25.000
GET     497.663       30.000
GET     522.239       35.000
GET     577.535       40.000
GET     622.591       45.000
GET     647.167       50.000
GET     663.551       52.500
GET     692.223       55.000
GET     712.703       57.500
GET     737.279       60.000
GET     761.855       62.500
GET     774.143       65.000
GET     786.431       67.500
GET     798.719       70.000
GET     835.583       72.500
GET     856.063       75.000
GET     864.255       76.250
GET     876.543       77.500
GET     888.831       78.750
GET     897.023       80.000
GET     905.215       81.250
GET     913.407       82.500
GET     917.503       83.750
GET     921.599       85.000
GET     933.887       86.250
GET     942.079       87.500
GET     950.271       88.125
GET     962.559       88.750
GET     970.751       89.375
GET     974.847       90.000
GET     978.943       90.625
GET     987.135       91.250
GET     995.327       91.875
GET     999.423       92.500
GET    1003.519       93.125
GET    1007.615       93.750
GET    1011.711       94.062
GET    1015.807       94.375
GET    1019.903       94.688
GET    1023.999       95.000
GET    1028.095       95.312
GET    1028.095       95.625
GET    1032.191       95.938
GET    1032.191       96.250
GET    1036.287       96.562
GET    1036.287       96.875
GET    1036.287       97.031
GET    1036.287       97.188
GET    1040.383       97.344
GET    1040.383       97.500
GET    1040.383       97.656
GET    1040.383       97.812
GET    1040.383       97.969
GET    1040.383       98.125
GET    1044.479       98.281
GET    1044.479       98.438
GET    1044.479       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1048.575       98.828
GET    1048.575      100.000
---
WAIT      0.000      100.000
