20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       305711.53    305711.53         0.00       634.17820       638.97500      1044.47900      1048.57500     19947.33 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     305711.53    305711.53         0.00       634.17820       638.97500      1044.47900      1048.57500     19947.33 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     136.191        0.000
GET     228.351        5.000
GET     290.815       10.000
GET     333.823       15.000
GET     372.735       20.000
GET     425.983       25.000
GET     475.135       30.000
GET     520.191       35.000
GET     569.343       40.000
GET     602.111       45.000
GET     638.975       50.000
GET     667.647       52.500
GET     692.223       55.000
GET     712.703       57.500
GET     724.991       60.000
GET     745.471       62.500
GET     761.855       65.000
GET     782.335       67.500
GET     811.007       70.000
GET     835.583       72.500
GET     851.967       75.000
GET     860.159       76.250
GET     868.351       77.500
GET     880.639       78.750
GET     888.831       80.000
GET     897.023       81.250
GET     905.215       82.500
GET     917.503       83.750
GET     929.791       85.000
GET     946.175       86.250
GET     958.463       87.500
GET     962.559       88.125
GET     966.655       88.750
GET     974.847       89.375
GET     978.943       90.000
GET     987.135       90.625
GET     991.231       91.250
GET     991.231       91.875
GET     995.327       92.500
GET     999.423       93.125
GET    1003.519       93.750
GET    1007.615       94.062
GET    1007.615       94.375
GET    1011.711       94.688
GET    1015.807       95.000
GET    1019.903       95.312
GET    1019.903       95.625
GET    1023.999       95.938
GET    1023.999       96.250
GET    1023.999       96.562
GET    1028.095       96.875
GET    1028.095       97.031
GET    1028.095       97.188
GET    1032.191       97.344
GET    1032.191       97.500
GET    1036.287       97.656
GET    1036.287       97.812
GET    1036.287       97.969
GET    1036.287       98.125
GET    1040.383       98.281
GET    1040.383       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1048.575       99.746
GET    1048.575      100.000
---
WAIT      0.000      100.000
