20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       296357.89    296357.89         0.00       636.95608       655.35900      1040.38300      1044.47900     19337.02 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     296357.89    296357.89         0.00       636.95608       655.35900      1040.38300      1044.47900     19337.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     145.407        0.000
GET     259.071        5.000
GET     315.391       10.000
GET     354.303       15.000
GET     391.167       20.000
GET     442.367       25.000
GET     493.567       30.000
GET     518.143       35.000
GET     552.959       40.000
GET     610.303       45.000
GET     655.359       50.000
GET     663.551       52.500
GET     675.839       55.000
GET     692.223       57.500
GET     724.991       60.000
GET     749.567       62.500
GET     774.143       65.000
GET     794.623       67.500
GET     802.815       70.000
GET     815.103       72.500
GET     831.487       75.000
GET     839.679       76.250
GET     860.159       77.500
GET     872.447       78.750
GET     888.831       80.000
GET     897.023       81.250
GET     909.311       82.500
GET     921.599       83.750
GET     933.887       85.000
GET     937.983       86.250
GET     942.079       87.500
GET     946.175       88.125
GET     946.175       88.750
GET     950.271       89.375
GET     954.367       90.000
GET     958.463       90.625
GET     962.559       91.250
GET     970.751       91.875
GET     974.847       92.500
GET     978.943       93.125
GET     978.943       93.750
GET     978.943       94.062
GET     983.039       94.375
GET     987.135       94.688
GET     991.231       95.000
GET    1003.519       95.312
GET    1003.519       95.625
GET    1011.711       95.938
GET    1011.711       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1015.807       97.031
GET    1019.903       97.188
GET    1023.999       97.344
GET    1028.095       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1048.575       99.917
GET    1048.575      100.000
---
WAIT      0.000      100.000
