20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       299828.28    299828.28         0.00       637.79711       651.26300      1036.28700      1048.57500     19563.45 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     299828.28    299828.28         0.00       637.79711       651.26300      1036.28700      1048.57500     19563.45 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     175.103        0.000
GET     268.287        5.000
GET     307.199       10.000
GET     342.015       15.000
GET     380.927       20.000
GET     438.271       25.000
GET     487.423       30.000
GET     524.287       35.000
GET     557.055       40.000
GET     602.111       45.000
GET     651.263       50.000
GET     667.647       52.500
GET     684.031       55.000
GET     696.319       57.500
GET     720.895       60.000
GET     741.375       62.500
GET     774.143       65.000
GET     790.527       67.500
GET     806.911       70.000
GET     827.391       72.500
GET     839.679       75.000
GET     847.871       76.250
GET     860.159       77.500
GET     872.447       78.750
GET     880.639       80.000
GET     892.927       81.250
GET     909.311       82.500
GET     921.599       83.750
GET     929.791       85.000
GET     942.079       86.250
GET     950.271       87.500
GET     954.367       88.125
GET     962.559       88.750
GET     966.655       89.375
GET     970.751       90.000
GET     970.751       90.625
GET     970.751       91.250
GET     974.847       91.875
GET     978.943       92.500
GET     983.039       93.125
GET     987.135       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     995.327       94.688
GET     999.423       95.000
GET    1003.519       95.312
GET    1011.711       95.625
GET    1011.711       95.938
GET    1015.807       96.250
GET    1015.807       96.562
GET    1019.903       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1019.903       97.344
GET    1023.999       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1048.575       99.453
GET    1048.575      100.000
---
WAIT      0.000      100.000
