20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       354827.63    354827.63         0.00       624.91149       626.68700      1040.38300      1048.57500     23152.10 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     354827.63    354827.63         0.00       624.91149       626.68700      1040.38300      1048.57500     23152.10 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     124.927        0.000
GET     238.591        5.000
GET     282.623       10.000
GET     331.775       15.000
GET     376.831       20.000
GET     421.887       25.000
GET     462.847       30.000
GET     503.807       35.000
GET     552.959       40.000
GET     585.727       45.000
GET     626.687       50.000
GET     651.263       52.500
GET     675.839       55.000
GET     696.319       57.500
GET     708.607       60.000
GET     729.087       62.500
GET     749.567       65.000
GET     774.143       67.500
GET     798.719       70.000
GET     819.199       72.500
GET     831.487       75.000
GET     843.775       76.250
GET     851.967       77.500
GET     868.351       78.750
GET     876.543       80.000
GET     888.831       81.250
GET     901.119       82.500
GET     909.311       83.750
GET     925.695       85.000
GET     933.887       86.250
GET     942.079       87.500
GET     946.175       88.125
GET     950.271       88.750
GET     950.271       89.375
GET     954.367       90.000
GET     962.559       90.625
GET     966.655       91.250
GET     974.847       91.875
GET     978.943       92.500
GET     987.135       93.125
GET     991.231       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     999.423       94.688
GET     999.423       95.000
GET    1003.519       95.312
GET    1007.615       95.625
GET    1011.711       95.938
GET    1015.807       96.250
GET    1019.903       96.562
GET    1019.903       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1019.903       97.344
GET    1023.999       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1048.575       99.453
GET    1048.575      100.000
---
WAIT      0.000      100.000
