20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       349505.59    349505.59         0.00       642.61259       643.07100      1044.47900      1048.57500     22804.82 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     349505.59    349505.59         0.00       642.61259       643.07100      1044.47900      1048.57500     22804.82 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     145.407        0.000
GET     262.143        5.000
GET     319.487       10.000
GET     350.207       15.000
GET     403.455       20.000
GET     448.511       25.000
GET     487.423       30.000
GET     524.287       35.000
GET     569.343       40.000
GET     606.207       45.000
GET     643.071       50.000
GET     667.647       52.500
GET     692.223       55.000
GET     712.703       57.500
GET     729.087       60.000
GET     745.471       62.500
GET     765.951       65.000
GET     786.431       67.500
GET     811.007       70.000
GET     835.583       72.500
GET     847.871       75.000
GET     856.063       76.250
GET     868.351       77.500
GET     872.447       78.750
GET     880.639       80.000
GET     897.023       81.250
GET     905.215       82.500
GET     917.503       83.750
GET     929.791       85.000
GET     942.079       86.250
GET     954.367       87.500
GET     958.463       88.125
GET     958.463       88.750
GET     962.559       89.375
GET     966.655       90.000
GET     974.847       90.625
GET     978.943       91.250
GET     983.039       91.875
GET     987.135       92.500
GET     991.231       93.125
GET     991.231       93.750
GET     995.327       94.062
GET    1003.519       94.375
GET    1007.615       94.688
GET    1007.615       95.000
GET    1011.711       95.312
GET    1015.807       95.625
GET    1019.903       95.938
GET    1019.903       96.250
GET    1019.903       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1023.999       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1040.383       98.125
GET    1040.383       98.281
GET    1040.383       98.438
GET    1040.383       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1048.575       99.453
GET    1048.575      100.000
---
WAIT      0.000      100.000
