20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       304000.82    304000.82         0.00       645.54223       659.45500      1044.47900      1048.57500     19835.72 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     304000.82    304000.82         0.00       645.54223       659.45500      1044.47900      1048.57500     19835.72 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     174.079        0.000
GET     266.239        5.000
GET     319.487       10.000
GET     358.399       15.000
GET     391.167       20.000
GET     462.847       25.000
GET     501.759       30.000
GET     536.575       35.000
GET     569.343       40.000
GET     618.495       45.000
GET     659.455       50.000
GET     675.839       52.500
GET     696.319       55.000
GET     708.607       57.500
GET     724.991       60.000
GET     757.759       62.500
GET     778.239       65.000
GET     794.623       67.500
GET     815.103       70.000
GET     831.487       72.500
GET     847.871       75.000
GET     851.967       76.250
GET     860.159       77.500
GET     876.543       78.750
GET     888.831       80.000
GET     901.119       81.250
GET     913.407       82.500
GET     925.695       83.750
GET     933.887       85.000
GET     942.079       86.250
GET     950.271       87.500
GET     954.367       88.125
GET     958.463       88.750
GET     962.559       89.375
GET     970.751       90.000
GET     974.847       90.625
GET     974.847       91.250
GET     978.943       91.875
GET     983.039       92.500
GET     987.135       93.125
GET     991.231       93.750
GET     991.231       94.062
GET     991.231       94.375
GET     995.327       94.688
GET     995.327       95.000
GET     999.423       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1007.615       96.250
GET    1019.903       96.562
GET    1019.903       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1036.287       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1048.575       99.258
GET    1048.575      100.000
---
WAIT      0.000      100.000
