20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       250635.76    250635.76         0.00       650.33013       663.55100      1048.57500      1048.57500     16353.69 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     250635.76    250635.76         0.00       650.33013       663.55100      1048.57500      1048.57500     16353.69 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      69.631        0.000
GET     254.975        5.000
GET     317.439       10.000
GET     372.735       15.000
GET     407.551       20.000
GET     444.415       25.000
GET     501.759       30.000
GET     552.959       35.000
GET     577.535       40.000
GET     606.207       45.000
GET     663.551       50.000
GET     692.223       52.500
GET     716.799       55.000
GET     724.991       57.500
GET     737.279       60.000
GET     745.471       62.500
GET     765.951       65.000
GET     802.815       67.500
GET     823.295       70.000
GET     851.967       72.500
GET     872.447       75.000
GET     876.543       76.250
GET     880.639       77.500
GET     888.831       78.750
GET     892.927       80.000
GET     897.023       81.250
GET     905.215       82.500
GET     913.407       83.750
GET     925.695       85.000
GET     946.175       86.250
GET     958.463       87.500
GET     966.655       88.125
GET     966.655       88.750
GET     974.847       89.375
GET     983.039       90.000
GET     991.231       90.625
GET     999.423       91.250
GET     999.423       91.875
GET    1007.615       92.500
GET    1011.711       93.125
GET    1015.807       93.750
GET    1015.807       94.062
GET    1015.807       94.375
GET    1019.903       94.688
GET    1023.999       95.000
GET    1028.095       95.312
GET    1028.095       95.625
GET    1032.191       95.938
GET    1032.191       96.250
GET    1032.191       96.562
GET    1032.191       96.875
GET    1032.191       97.031
GET    1036.287       97.188
GET    1036.287       97.344
GET    1040.383       97.500
GET    1040.383       97.656
GET    1040.383       97.812
GET    1040.383       97.969
GET    1040.383       98.125
GET    1040.383       98.281
GET    1048.575       98.438
GET    1048.575      100.000
---
WAIT      0.000      100.000
