20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       297391.55    297391.55         0.00       639.94491       655.35900      1036.28700      1048.57500     19404.45 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     297391.55    297391.55         0.00       639.94491       655.35900      1036.28700      1048.57500     19404.45 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      44.543        0.000
GET     226.303        5.000
GET     296.959       10.000
GET     346.111       15.000
GET     395.263       20.000
GET     448.511       25.000
GET     489.471       30.000
GET     548.863       35.000
GET     581.631       40.000
GET     606.207       45.000
GET     655.359       50.000
GET     679.935       52.500
GET     708.607       55.000
GET     716.799       57.500
GET     729.087       60.000
GET     741.375       62.500
GET     765.951       65.000
GET     790.527       67.500
GET     823.295       70.000
GET     839.679       72.500
GET     851.967       75.000
GET     860.159       76.250
GET     864.255       77.500
GET     868.351       78.750
GET     876.543       80.000
GET     888.831       81.250
GET     905.215       82.500
GET     917.503       83.750
GET     933.887       85.000
GET     950.271       86.250
GET     962.559       87.500
GET     962.559       88.125
GET     970.751       88.750
GET     974.847       89.375
GET     974.847       90.000
GET     978.943       90.625
GET     983.039       91.250
GET     983.039       91.875
GET     987.135       92.500
GET     991.231       93.125
GET     995.327       93.750
GET     995.327       94.062
GET     999.423       94.375
GET     999.423       94.688
GET     999.423       95.000
GET    1003.519       95.312
GET    1003.519       95.625
GET    1003.519       95.938
GET    1007.615       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1015.807       97.500
GET    1019.903       97.656
GET    1019.903       97.812
GET    1019.903       97.969
GET    1019.903       98.125
GET    1019.903       98.281
GET    1023.999       98.438
GET    1028.095       98.516
GET    1028.095       98.594
GET    1028.095       98.672
GET    1028.095       98.750
GET    1028.095       98.828
GET    1028.095       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1048.575       99.854
GET    1048.575      100.000
---
WAIT      0.000      100.000
