20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       298360.24    298360.24         0.00       641.74548       655.35900      1044.47900      1048.57500     19467.67 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     298360.24    298360.24         0.00       641.74548       655.35900      1044.47900      1048.57500     19467.67 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     115.711        0.000
GET     254.975        5.000
GET     305.151       10.000
GET     356.351       15.000
GET     413.695       20.000
GET     442.367       25.000
GET     487.423       30.000
GET     536.575       35.000
GET     573.439       40.000
GET     602.111       45.000
GET     655.359       50.000
GET     675.839       52.500
GET     692.223       55.000
GET     708.607       57.500
GET     724.991       60.000
GET     737.279       62.500
GET     774.143       65.000
GET     790.527       67.500
GET     811.007       70.000
GET     827.391       72.500
GET     843.775       75.000
GET     856.063       76.250
GET     864.255       77.500
GET     868.351       78.750
GET     876.543       80.000
GET     897.023       81.250
GET     913.407       82.500
GET     921.599       83.750
GET     929.791       85.000
GET     942.079       86.250
GET     950.271       87.500
GET     954.367       88.125
GET     958.463       88.750
GET     962.559       89.375
GET     966.655       90.000
GET     966.655       90.625
GET     970.751       91.250
GET     978.943       91.875
GET     983.039       92.500
GET     991.231       93.125
GET     991.231       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     995.327       94.688
GET     999.423       95.000
GET     999.423       95.312
GET    1003.519       95.625
GET    1003.519       95.938
GET    1007.615       96.250
GET    1007.615       96.562
GET    1011.711       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1023.999       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1036.287       98.281
GET    1040.383       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1048.575       99.648
GET    1048.575      100.000
---
WAIT      0.000      100.000
