20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       251440.24    251440.24         0.00       633.06506       651.26300      1036.28700      1044.47900     16406.19 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     251440.24    251440.24         0.00       633.06506       651.26300      1036.28700      1044.47900     16406.19 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      67.071        0.000
GET     236.543        5.000
GET     290.815       10.000
GET     346.111       15.000
GET     380.927       20.000
GET     421.887       25.000
GET     477.183       30.000
GET     516.095       35.000
GET     565.247       40.000
GET     614.399       45.000
GET     651.263       50.000
GET     663.551       52.500
GET     675.839       55.000
GET     696.319       57.500
GET     716.799       60.000
GET     753.663       62.500
GET     774.143       65.000
GET     794.623       67.500
GET     811.007       70.000
GET     823.295       72.500
GET     831.487       75.000
GET     843.775       76.250
GET     860.159       77.500
GET     868.351       78.750
GET     880.639       80.000
GET     901.119       81.250
GET     913.407       82.500
GET     925.695       83.750
GET     933.887       85.000
GET     942.079       86.250
GET     954.367       87.500
GET     958.463       88.125
GET     962.559       88.750
GET     970.751       89.375
GET     970.751       90.000
GET     970.751       90.625
GET     974.847       91.250
GET     978.943       91.875
GET     983.039       92.500
GET     983.039       93.125
GET     987.135       93.750
GET     991.231       94.062
GET     991.231       94.375
GET     995.327       94.688
GET     999.423       95.000
GET    1003.519       95.312
GET    1003.519       95.625
GET    1007.615       95.938
GET    1007.615       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1019.903       97.344
GET    1023.999       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1036.287       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1044.479       99.688
GET    1044.479      100.000
---
WAIT      0.000      100.000
