20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       299652.14    299652.14         0.00       631.31806       630.78300      1040.38300      1048.57500     19551.95 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     299652.14    299652.14         0.00       631.31806       630.78300      1040.38300      1048.57500     19551.95 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     138.239        0.000
GET     250.879        5.000
GET     315.391       10.000
GET     339.967       15.000
GET     368.639       20.000
GET     407.551       25.000
GET     454.655       30.000
GET     509.951       35.000
GET     548.863       40.000
GET     589.823       45.000
GET     630.783       50.000
GET     655.359       52.500
GET     684.031       55.000
GET     700.415       57.500
GET     716.799       60.000
GET     737.279       62.500
GET     749.567       65.000
GET     782.335       67.500
GET     806.911       70.000
GET     835.583       72.500
GET     847.871       75.000
GET     856.063       76.250
GET     864.255       77.500
GET     876.543       78.750
GET     884.735       80.000
GET     892.927       81.250
GET     901.119       82.500
GET     921.599       83.750
GET     933.887       85.000
GET     946.175       86.250
GET     958.463       87.500
GET     970.751       88.125
GET     974.847       88.750
GET     978.943       89.375
GET     983.039       90.000
GET     987.135       90.625
GET     987.135       91.250
GET     995.327       91.875
GET     995.327       92.500
GET     999.423       93.125
GET    1003.519       93.750
GET    1007.615       94.062
GET    1011.711       94.375
GET    1011.711       94.688
GET    1015.807       95.000
GET    1015.807       95.312
GET    1019.903       95.625
GET    1019.903       95.938
GET    1028.095       96.250
GET    1028.095       96.562
GET    1028.095       96.875
GET    1032.191       97.031
GET    1032.191       97.188
GET    1032.191       97.344
GET    1032.191       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1036.287       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1048.575       99.688
GET    1048.575      100.000
---
WAIT      0.000      100.000
