20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       301735.63    301735.63         0.00       648.83845       663.55100      1044.47900      1048.57500     19687.89 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     301735.63    301735.63         0.00       648.83845       663.55100      1044.47900      1048.57500     19687.89 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      47.871        0.000
GET     248.831        5.000
GET     311.295       10.000
GET     362.495       15.000
GET     411.647       20.000
GET     458.751       25.000
GET     493.567       30.000
GET     540.671       35.000
GET     589.823       40.000
GET     614.399       45.000
GET     663.551       50.000
GET     684.031       52.500
GET     708.607       55.000
GET     724.991       57.500
GET     737.279       60.000
GET     757.759       62.500
GET     778.239       65.000
GET     794.623       67.500
GET     819.199       70.000
GET     843.775       72.500
GET     856.063       75.000
GET     868.351       76.250
GET     872.447       77.500
GET     884.735       78.750
GET     892.927       80.000
GET     901.119       81.250
GET     909.311       82.500
GET     917.503       83.750
GET     933.887       85.000
GET     937.983       86.250
GET     958.463       87.500
GET     970.751       88.125
GET     974.847       88.750
GET     974.847       89.375
GET     978.943       90.000
GET     983.039       90.625
GET     987.135       91.250
GET     991.231       91.875
GET     991.231       92.500
GET     995.327       93.125
GET    1003.519       93.750
GET    1003.519       94.062
GET    1003.519       94.375
GET    1007.615       94.688
GET    1007.615       95.000
GET    1011.711       95.312
GET    1011.711       95.625
GET    1019.903       95.938
GET    1023.999       96.250
GET    1023.999       96.562
GET    1028.095       96.875
GET    1028.095       97.031
GET    1032.191       97.188
GET    1032.191       97.344
GET    1032.191       97.500
GET    1036.287       97.656
GET    1036.287       97.812
GET    1036.287       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1048.575       99.629
GET    1048.575      100.000
---
WAIT      0.000      100.000
