20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       248969.50    248969.50         0.00       661.95512       679.93500      1040.38300      1048.57500     16244.98 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     248969.50    248969.50         0.00       661.95512       679.93500      1040.38300      1048.57500     16244.98 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     160.767        0.000
GET     288.767        5.000
GET     337.919       10.000
GET     374.783       15.000
GET     421.887       20.000
GET     481.279       25.000
GET     518.143       30.000
GET     540.671       35.000
GET     581.631       40.000
GET     643.071       45.000
GET     679.935       50.000
GET     692.223       52.500
GET     704.511       55.000
GET     716.799       57.500
GET     741.375       60.000
GET     765.951       62.500
GET     794.623       65.000
GET     819.199       67.500
GET     835.583       70.000
GET     847.871       72.500
GET     860.159       75.000
GET     868.351       76.250
GET     876.543       77.500
GET     880.639       78.750
GET     897.023       80.000
GET     905.215       81.250
GET     921.599       82.500
GET     929.791       83.750
GET     946.175       85.000
GET     966.655       86.250
GET     978.943       87.500
GET     978.943       88.125
GET     987.135       88.750
GET     991.231       89.375
GET     995.327       90.000
GET    1003.519       90.625
GET    1003.519       91.250
GET    1007.615       91.875
GET    1007.615       92.500
GET    1011.711       93.125
GET    1011.711       93.750
GET    1011.711       94.062
GET    1011.711       94.375
GET    1015.807       94.688
GET    1015.807       95.000
GET    1019.903       95.312
GET    1023.999       95.625
GET    1028.095       95.938
GET    1028.095       96.250
GET    1032.191       96.562
GET    1032.191       96.875
GET    1032.191       97.031
GET    1032.191       97.188
GET    1032.191       97.344
GET    1036.287       97.500
GET    1036.287       97.656
GET    1036.287       97.812
GET    1036.287       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1048.575       99.297
GET    1048.575      100.000
---
WAIT      0.000      100.000
