20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       301810.88    301810.88         0.00       625.54536       630.78300      1040.38300      1048.57500     19692.80 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     301810.88    301810.88         0.00       625.54536       630.78300      1040.38300      1048.57500     19692.80 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      89.599        0.000
GET     230.399        5.000
GET     280.575       10.000
GET     323.583       15.000
GET     372.735       20.000
GET     417.791       25.000
GET     468.991       30.000
GET     503.807       35.000
GET     548.863       40.000
GET     598.015       45.000
GET     630.783       50.000
GET     651.263       52.500
GET     663.551       55.000
GET     696.319       57.500
GET     720.895       60.000
GET     745.471       62.500
GET     761.855       65.000
GET     774.143       67.500
GET     794.623       70.000
GET     811.007       72.500
GET     839.679       75.000
GET     851.967       76.250
GET     864.255       77.500
GET     876.543       78.750
GET     892.927       80.000
GET     897.023       81.250
GET     905.215       82.500
GET     913.407       83.750
GET     925.695       85.000
GET     929.791       86.250
GET     937.983       87.500
GET     942.079       88.125
GET     946.175       88.750
GET     950.271       89.375
GET     962.559       90.000
GET     966.655       90.625
GET     974.847       91.250
GET     983.039       91.875
GET     987.135       92.500
GET     995.327       93.125
GET     999.423       93.750
GET    1003.519       94.062
GET    1007.615       94.375
GET    1011.711       94.688
GET    1011.711       95.000
GET    1015.807       95.312
GET    1015.807       95.625
GET    1019.903       95.938
GET    1023.999       96.250
GET    1028.095       96.562
GET    1032.191       96.875
GET    1032.191       97.031
GET    1032.191       97.188
GET    1032.191       97.344
GET    1036.287       97.500
GET    1036.287       97.656
GET    1036.287       97.812
GET    1036.287       97.969
GET    1040.383       98.125
GET    1040.383       98.281
GET    1040.383       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1048.575       99.609
GET    1048.575      100.000
---
WAIT      0.000      100.000
