20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       247774.56    247774.56         0.00       640.55000       655.35900      1040.38300      1048.57500     16167.00 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     247774.56    247774.56         0.00       640.55000       655.35900      1040.38300      1048.57500     16167.00 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     157.695        0.000
GET     247.807        5.000
GET     307.199       10.000
GET     342.015       15.000
GET     397.311       20.000
GET     446.463       25.000
GET     489.471       30.000
GET     540.671       35.000
GET     561.151       40.000
GET     602.111       45.000
GET     655.359       50.000
GET     679.935       52.500
GET     696.319       55.000
GET     704.511       57.500
GET     724.991       60.000
GET     745.471       62.500
GET     770.047       65.000
GET     794.623       67.500
GET     819.199       70.000
GET     835.583       72.500
GET     843.775       75.000
GET     851.967       76.250
GET     860.159       77.500
GET     872.447       78.750
GET     884.735       80.000
GET     897.023       81.250
GET     905.215       82.500
GET     917.503       83.750
GET     929.791       85.000
GET     942.079       86.250
GET     958.463       87.500
GET     958.463       88.125
GET     970.751       88.750
GET     974.847       89.375
GET     974.847       90.000
GET     978.943       90.625
GET     983.039       91.250
GET     983.039       91.875
GET     987.135       92.500
GET     991.231       93.125
GET     995.327       93.750
GET     995.327       94.062
GET     995.327       94.375
GET    1003.519       94.688
GET    1003.519       95.000
GET    1007.615       95.312
GET    1007.615       95.625
GET    1011.711       95.938
GET    1015.807       96.250
GET    1023.999       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1028.095       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1036.287       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1048.575       99.492
GET    1048.575      100.000
---
WAIT      0.000      100.000
