20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       297385.54    297385.54         0.00       640.92469       655.35900      1040.38300      1048.57500     19404.07 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     297385.54    297385.54         0.00       640.92469       655.35900      1040.38300      1048.57500     19404.07 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      91.135        0.000
GET     247.807        5.000
GET     307.199       10.000
GET     358.399       15.000
GET     403.455       20.000
GET     436.223       25.000
GET     489.471       30.000
GET     536.575       35.000
GET     565.247       40.000
GET     606.207       45.000
GET     655.359       50.000
GET     675.839       52.500
GET     696.319       55.000
GET     704.511       57.500
GET     716.799       60.000
GET     741.375       62.500
GET     770.047       65.000
GET     794.623       67.500
GET     815.103       70.000
GET     839.679       72.500
GET     847.871       75.000
GET     847.871       76.250
GET     856.063       77.500
GET     868.351       78.750
GET     880.639       80.000
GET     892.927       81.250
GET     909.311       82.500
GET     917.503       83.750
GET     933.887       85.000
GET     946.175       86.250
GET     954.367       87.500
GET     958.463       88.125
GET     966.655       88.750
GET     974.847       89.375
GET     978.943       90.000
GET     983.039       90.625
GET     983.039       91.250
GET     983.039       91.875
GET     987.135       92.500
GET     987.135       93.125
GET     991.231       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     995.327       94.688
GET     995.327       95.000
GET     999.423       95.312
GET    1003.519       95.625
GET    1007.615       95.938
GET    1007.615       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1023.999       97.344
GET    1023.999       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1028.095       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1048.575       99.688
GET    1048.575      100.000
---
WAIT      0.000      100.000
