20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       351230.61    351230.61         0.00       647.66730       659.45500      1044.47900      1048.57500     22917.39 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     351230.61    351230.61         0.00       647.66730       659.45500      1044.47900      1048.57500     22917.39 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     166.911        0.000
GET     252.927        5.000
GET     309.247       10.000
GET     364.543       15.000
GET     413.695       20.000
GET     452.607       25.000
GET     491.519       30.000
GET     540.671       35.000
GET     573.439       40.000
GET     610.303       45.000
GET     659.455       50.000
GET     679.935       52.500
GET     692.223       55.000
GET     708.607       57.500
GET     729.087       60.000
GET     757.759       62.500
GET     778.239       65.000
GET     798.719       67.500
GET     811.007       70.000
GET     831.487       72.500
GET     851.967       75.000
GET     868.351       76.250
GET     880.639       77.500
GET     892.927       78.750
GET     901.119       80.000
GET     913.407       81.250
GET     917.503       82.500
GET     921.599       83.750
GET     929.791       85.000
GET     942.079       86.250
GET     950.271       87.500
GET     958.463       88.125
GET     962.559       88.750
GET     970.751       89.375
GET     974.847       90.000
GET     983.039       90.625
GET     991.231       91.250
GET     995.327       91.875
GET    1003.519       92.500
GET    1007.615       93.125
GET    1011.711       93.750
GET    1015.807       94.062
GET    1015.807       94.375
GET    1015.807       94.688
GET    1019.903       95.000
GET    1023.999       95.312
GET    1028.095       95.625
GET    1032.191       95.938
GET    1032.191       96.250
GET    1032.191       96.562
GET    1036.287       96.875
GET    1036.287       97.031
GET    1036.287       97.188
GET    1036.287       97.344
GET    1036.287       97.500
GET    1036.287       97.656
GET    1040.383       97.812
GET    1040.383       97.969
GET    1040.383       98.125
GET    1040.383       98.281
GET    1040.383       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1048.575       99.219
GET    1048.575      100.000
---
WAIT      0.000      100.000
