20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       295671.43    295671.43         0.00       628.09518       647.16700      1032.19100      1048.57500     19292.22 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     295671.43    295671.43         0.00       628.09518       647.16700      1032.19100      1048.57500     19292.22 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      44.799        0.000
GET     224.255        5.000
GET     284.671       10.000
GET     335.871       15.000
GET     380.927       20.000
GET     417.791       25.000
GET     477.183       30.000
GET     524.287       35.000
GET     552.959       40.000
GET     585.727       45.000
GET     647.167       50.000
GET     671.743       52.500
GET     692.223       55.000
GET     696.319       57.500
GET     708.607       60.000
GET     733.183       62.500
GET     765.951       65.000
GET     790.527       67.500
GET     815.103       70.000
GET     835.583       72.500
GET     839.679       75.000
GET     843.775       76.250
GET     851.967       77.500
GET     860.159       78.750
GET     872.447       80.000
GET     880.639       81.250
GET     905.215       82.500
GET     921.599       83.750
GET     933.887       85.000
GET     942.079       86.250
GET     958.463       87.500
GET     962.559       88.125
GET     966.655       88.750
GET     974.847       89.375
GET     978.943       90.000
GET     983.039       90.625
GET     983.039       91.250
GET     983.039       91.875
GET     987.135       92.500
GET     987.135       93.125
GET     991.231       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     995.327       94.688
GET     995.327       95.000
GET     995.327       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1003.519       96.250
GET    1011.711       96.562
GET    1011.711       96.875
GET    1011.711       97.031
GET    1011.711       97.188
GET    1015.807       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1023.999       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1028.095       98.516
GET    1028.095       98.594
GET    1028.095       98.672
GET    1028.095       98.750
GET    1028.095       98.828
GET    1028.095       98.906
GET    1032.191       98.984
GET    1032.191       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1036.287       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1048.575       99.668
GET    1048.575      100.000
---
WAIT      0.000      100.000
