20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       350966.57    350966.57         0.00       624.60253       638.97500      1044.47900      1048.57500     22900.15 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     350966.57    350966.57         0.00       624.60253       638.97500      1044.47900      1048.57500     22900.15 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      38.143        0.000
GET     208.895        5.000
GET     274.431       10.000
GET     331.775       15.000
GET     366.591       20.000
GET     423.935       25.000
GET     468.991       30.000
GET     507.903       35.000
GET     548.863       40.000
GET     598.015       45.000
GET     638.975       50.000
GET     655.359       52.500
GET     671.743       55.000
GET     696.319       57.500
GET     720.895       60.000
GET     737.279       62.500
GET     757.759       65.000
GET     778.239       67.500
GET     802.815       70.000
GET     823.295       72.500
GET     847.871       75.000
GET     856.063       76.250
GET     860.159       77.500
GET     868.351       78.750
GET     884.735       80.000
GET     892.927       81.250
GET     901.119       82.500
GET     909.311       83.750
GET     925.695       85.000
GET     933.887       86.250
GET     946.175       87.500
GET     950.271       88.125
GET     958.463       88.750
GET     966.655       89.375
GET     970.751       90.000
GET     974.847       90.625
GET     978.943       91.250
GET     978.943       91.875
GET     987.135       92.500
GET     991.231       93.125
GET     999.423       93.750
GET    1003.519       94.062
GET    1003.519       94.375
GET    1007.615       94.688
GET    1007.615       95.000
GET    1007.615       95.312
GET    1007.615       95.625
GET    1015.807       95.938
GET    1015.807       96.250
GET    1019.903       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1048.575       99.141
GET    1048.575      100.000
---
WAIT      0.000      100.000
