20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       356583.85    356583.85         0.00       631.95169       643.07100      1032.19100      1044.47900     23266.69 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     356583.85    356583.85         0.00       631.95169       643.07100      1032.19100      1044.47900     23266.69 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     100.863        0.000
GET     225.279        5.000
GET     278.527       10.000
GET     339.967       15.000
GET     387.071       20.000
GET     432.127       25.000
GET     483.327       30.000
GET     520.191       35.000
GET     561.151       40.000
GET     606.207       45.000
GET     643.071       50.000
GET     659.455       52.500
GET     679.935       55.000
GET     708.607       57.500
GET     724.991       60.000
GET     745.471       62.500
GET     761.855       65.000
GET     782.335       67.500
GET     798.719       70.000
GET     831.487       72.500
GET     847.871       75.000
GET     856.063       76.250
GET     864.255       77.500
GET     876.543       78.750
GET     884.735       80.000
GET     888.831       81.250
GET     901.119       82.500
GET     909.311       83.750
GET     921.599       85.000
GET     937.983       86.250
GET     950.271       87.500
GET     954.367       88.125
GET     958.463       88.750
GET     962.559       89.375
GET     966.655       90.000
GET     974.847       90.625
GET     978.943       91.250
GET     983.039       91.875
GET     987.135       92.500
GET     991.231       93.125
GET     999.423       93.750
GET     999.423       94.062
GET    1003.519       94.375
GET    1003.519       94.688
GET    1003.519       95.000
GET    1007.615       95.312
GET    1007.615       95.625
GET    1011.711       95.938
GET    1015.807       96.250
GET    1015.807       96.562
GET    1019.903       96.875
GET    1019.903       97.031
GET    1023.999       97.188
GET    1023.999       97.344
GET    1023.999       97.500
GET    1023.999       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1032.191       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1048.575       99.932
GET    1048.575      100.000
---
WAIT      0.000      100.000
