20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       296562.98    296562.98         0.00       627.63411       634.87900      1044.47900      1048.57500     19350.38 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     296562.98    296562.98         0.00       627.63411       634.87900      1044.47900      1048.57500     19350.38 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     107.007        0.000
GET     215.039        5.000
GET     276.479       10.000
GET     331.775       15.000
GET     366.591       20.000
GET     413.695       25.000
GET     468.991       30.000
GET     501.759       35.000
GET     544.767       40.000
GET     602.111       45.000
GET     634.879       50.000
GET     651.263       52.500
GET     671.743       55.000
GET     700.415       57.500
GET     724.991       60.000
GET     745.471       62.500
GET     765.951       65.000
GET     774.143       67.500
GET     798.719       70.000
GET     815.103       72.500
GET     851.967       75.000
GET     864.255       76.250
GET     872.447       77.500
GET     880.639       78.750
GET     888.831       80.000
GET     901.119       81.250
GET     909.311       82.500
GET     913.407       83.750
GET     925.695       85.000
GET     933.887       86.250
GET     942.079       87.500
GET     950.271       88.125
GET     954.367       88.750
GET     962.559       89.375
GET     978.943       90.000
GET     987.135       90.625
GET     991.231       91.250
GET     999.423       91.875
GET    1003.519       92.500
GET    1007.615       93.125
GET    1007.615       93.750
GET    1011.711       94.062
GET    1011.711       94.375
GET    1015.807       94.688
GET    1015.807       95.000
GET    1015.807       95.312
GET    1019.903       95.625
GET    1023.999       95.938
GET    1032.191       96.250
GET    1036.287       96.562
GET    1036.287       96.875
GET    1036.287       97.031
GET    1040.383       97.188
GET    1040.383       97.344
GET    1040.383       97.500
GET    1040.383       97.656
GET    1040.383       97.812
GET    1040.383       97.969
GET    1044.479       98.125
GET    1044.479       98.281
GET    1044.479       98.438
GET    1044.479       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1048.575       99.453
GET    1048.575      100.000
---
WAIT      0.000      100.000
