20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       350839.54    350839.54         0.00       637.29354       651.26300      1044.47900      1048.57500     22891.88 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     350839.54    350839.54         0.00       637.29354       651.26300      1044.47900      1048.57500     22891.88 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     115.711        0.000
GET     231.423        5.000
GET     299.007       10.000
GET     333.823       15.000
GET     387.071       20.000
GET     432.127       25.000
GET     481.279       30.000
GET     532.479       35.000
GET     561.151       40.000
GET     606.207       45.000
GET     651.263       50.000
GET     667.647       52.500
GET     679.935       55.000
GET     700.415       57.500
GET     729.087       60.000
GET     753.663       62.500
GET     770.047       65.000
GET     786.431       67.500
GET     802.815       70.000
GET     831.487       72.500
GET     856.063       75.000
GET     868.351       76.250
GET     880.639       77.500
GET     884.735       78.750
GET     892.927       80.000
GET     901.119       81.250
GET     905.215       82.500
GET     917.503       83.750
GET     925.695       85.000
GET     942.079       86.250
GET     954.367       87.500
GET     958.463       88.125
GET     966.655       88.750
GET     974.847       89.375
GET     978.943       90.000
GET     987.135       90.625
GET     995.327       91.250
GET     995.327       91.875
GET     999.423       92.500
GET    1003.519       93.125
GET    1007.615       93.750
GET    1011.711       94.062
GET    1011.711       94.375
GET    1011.711       94.688
GET    1015.807       95.000
GET    1019.903       95.312
GET    1019.903       95.625
GET    1019.903       95.938
GET    1019.903       96.250
GET    1023.999       96.562
GET    1023.999       96.875
GET    1028.095       97.031
GET    1028.095       97.188
GET    1028.095       97.344
GET    1032.191       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1048.575       99.766
GET    1048.575      100.000
---
WAIT      0.000      100.000
