20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       350621.94    350621.94         0.00       647.54633       659.45500      1044.47900      1048.57500     22877.67 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     350621.94    350621.94         0.00       647.54633       659.45500      1044.47900      1048.57500     22877.67 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      34.047        0.000
GET     251.903        5.000
GET     303.103       10.000
GET     362.495       15.000
GET     409.599       20.000
GET     456.703       25.000
GET     487.423       30.000
GET     540.671       35.000
GET     577.535       40.000
GET     610.303       45.000
GET     659.455       50.000
GET     679.935       52.500
GET     700.415       55.000
GET     712.703       57.500
GET     733.183       60.000
GET     757.759       62.500
GET     778.239       65.000
GET     798.719       67.500
GET     815.103       70.000
GET     835.583       72.500
GET     851.967       75.000
GET     872.447       76.250
GET     888.831       77.500
GET     892.927       78.750
GET     905.215       80.000
GET     909.311       81.250
GET     921.599       82.500
GET     925.695       83.750
GET     933.887       85.000
GET     937.983       86.250
GET     954.367       87.500
GET     962.559       88.125
GET     970.751       88.750
GET     974.847       89.375
GET     978.943       90.000
GET     987.135       90.625
GET     991.231       91.250
GET     999.423       91.875
GET    1003.519       92.500
GET    1007.615       93.125
GET    1007.615       93.750
GET    1011.711       94.062
GET    1011.711       94.375
GET    1011.711       94.688
GET    1015.807       95.000
GET    1015.807       95.312
GET    1019.903       95.625
GET    1023.999       95.938
GET    1028.095       96.250
GET    1032.191       96.562
GET    1036.287       96.875
GET    1036.287       97.031
GET    1036.287       97.188
GET    1036.287       97.344
GET    1040.383       97.500
GET    1040.383       97.656
GET    1040.383       97.812
GET    1040.383       97.969
GET    1044.479       98.125
GET    1044.479       98.281
GET    1044.479       98.438
GET    1044.479       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1048.575       99.258
GET    1048.575      100.000
---
WAIT      0.000      100.000
