20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       296412.83    296412.83         0.00       640.44812       655.35900      1040.38300      1048.57500     19340.60 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     296412.83    296412.83         0.00       640.44812       655.35900      1040.38300      1048.57500     19340.60 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET     144.383        0.000
GET     261.119        5.000
GET     311.295       10.000
GET     358.399       15.000
GET     397.311       20.000
GET     442.367       25.000
GET     495.615       30.000
GET     532.479       35.000
GET     557.055       40.000
GET     606.207       45.000
GET     655.359       50.000
GET     675.839       52.500
GET     688.127       55.000
GET     700.415       57.500
GET     716.799       60.000
GET     741.375       62.500
GET     770.047       65.000
GET     794.623       67.500
GET     815.103       70.000
GET     823.295       72.500
GET     839.679       75.000
GET     847.871       76.250
GET     856.063       77.500
GET     868.351       78.750
GET     876.543       80.000
GET     897.023       81.250
GET     909.311       82.500
GET     925.695       83.750
GET     933.887       85.000
GET     946.175       86.250
GET     954.367       87.500
GET     958.463       88.125
GET     962.559       88.750
GET     966.655       89.375
GET     966.655       90.000
GET     970.751       90.625
GET     974.847       91.250
GET     978.943       91.875
GET     983.039       92.500
GET     983.039       93.125
GET     987.135       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     995.327       94.688
GET     999.423       95.000
GET     999.423       95.312
GET    1003.519       95.625
GET    1011.711       95.938
GET    1011.711       96.250
GET    1015.807       96.562
GET    1015.807       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1028.095       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1048.575       99.785
GET    1048.575      100.000
---
WAIT      0.000      100.000
