20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       348062.34    348062.34         0.00       612.95679       630.78300      1044.47900      1048.57500     22710.68 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     348062.34    348062.34         0.00       612.95679       630.78300      1044.47900      1048.57500     22710.68 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      49.407        0.000
GET     133.119        5.000
GET     238.591       10.000
GET     303.103       15.000
GET     358.399       20.000
GET     405.503       25.000
GET     450.559       30.000
GET     495.615       35.000
GET     540.671       40.000
GET     585.727       45.000
GET     630.783       50.000
GET     655.359       52.500
GET     667.647       55.000
GET     688.127       57.500
GET     716.799       60.000
GET     741.375       62.500
GET     761.855       65.000
GET     778.239       67.500
GET     790.527       70.000
GET     819.199       72.500
GET     843.775       75.000
GET     860.159       76.250
GET     864.255       77.500
GET     876.543       78.750
GET     888.831       80.000
GET     897.023       81.250
GET     901.119       82.500
GET     913.407       83.750
GET     921.599       85.000
GET     937.983       86.250
GET     946.175       87.500
GET     958.463       88.125
GET     962.559       88.750
GET     970.751       89.375
GET     974.847       90.000
GET     983.039       90.625
GET     983.039       91.250
GET     991.231       91.875
GET     995.327       92.500
GET    1003.519       93.125
GET    1007.615       93.750
GET    1011.711       94.062
GET    1011.711       94.375
GET    1015.807       94.688
GET    1019.903       95.000
GET    1019.903       95.312
GET    1019.903       95.625
GET    1023.999       95.938
GET    1023.999       96.250
GET    1023.999       96.562
GET    1028.095       96.875
GET    1028.095       97.031
GET    1032.191       97.188
GET    1032.191       97.344
GET    1032.191       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1036.287       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1048.575       99.414
GET    1048.575      100.000
---
WAIT      0.000      100.000
